paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
srep37185,srep37185_Populationdensity,Flt_ngg,0.011,Unknown,table_p6_ri2_ci3,soil,,,phase14_batch2; matrix=score=135:high; conf=high; flag=,,
srep37185,srep37185_Populationdensity,Pyr_ngg,0.011,Unknown,table_p6_ri2_ci3,soil,,,phase14_batch2; matrix=score=135:high; conf=high; flag=,,
srep37185,srep37185_Populationdensity,Ind_ngg,0.081,Unknown,table_p6_ri3_ci3,soil,,,phase14_batch2; matrix=score=135:high; conf=high; flag=,,
srep37185,srep37185_Populationdensity,BghiP_ngg,0.081,Unknown,table_p6_ri3_ci3,soil,,,phase14_batch2; matrix=score=135:high; conf=high; flag=,,
srep37185,srep37185_Night_lightintensity,Ind_ngg,0.056,Unknown,table_p6_ri3_ci4,soil,,,phase14_batch2; matrix=score=135:high; conf=high; flag=,,
srep37185,srep37185_Night_lightintensity,BghiP_ngg,0.056,Unknown,table_p6_ri3_ci4,soil,,,phase14_batch2; matrix=score=135:high; conf=high; flag=,,
