paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
J of Separation Science - 2022 - Liu - A cleanup m,J of Separation Science - 2022 - Liu - A cleanup m_Volume_ratio_of_DCM_to_hexane,OC_pct,62.7,Unknown,table_p6_ri9_ci1,water,,,phase14_batch2; matrix=score=5:low; conf=medium; flag=,,
J of Separation Science - 2022 - Liu - A cleanup m,J of Separation Science - 2022 - Liu - A cleanup m_col2,OC_pct,56.599999999999994,Unknown,table_p6_ri9_ci2,water,,,phase14_batch2; matrix=score=5:low; conf=medium; flag=,,
J of Separation Science - 2022 - Liu - A cleanup m,J of Separation Science - 2022 - Liu - A cleanup m_col2,SumPBDE_ngg,1.53,Unknown,table_p9_ri23_ci2,water,,,phase14_batch2; matrix=score=5:low; conf=medium; flag=,,
J of Separation Science - 2022 - Liu - A cleanup m,J of Separation Science - 2022 - Liu - A cleanup m_col3,SumPBDE_ngg,1.13,Unknown,table_p9_ri23_ci3,water,,,phase14_batch2; matrix=score=5:low; conf=medium; flag=,,
J of Separation Science - 2022 - Liu - A cleanup m,J of Separation Science - 2022 - Liu - A cleanup m_col4,SumPBDE_ngg,1.24,Unknown,table_p9_ri23_ci4,water,,,phase14_batch2; matrix=score=5:low; conf=medium; flag=,,
