paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERM_(mg/kg),Ant_ngg,0.26,Unknown,table_p2_ri10_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERL_(mg/kg),Flt_ngg,0.6,Unknown,table_p2_ri11_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERM_(mg/kg),Flt_ngg,5.1,Unknown,table_p2_ri11_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERL_(mg/kg),Pyr_ngg,0.665,Unknown,table_p2_ri12_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERM_(mg/kg),Pyr_ngg,2.6,Unknown,table_p2_ri12_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERL_(mg/kg),Sum_PAH_ngg,4.022,Unknown,table_p2_ri13_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__ERM_(mg/kg),Sum_PAH_ngg,44.792,Unknown,table_p2_ri13_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__1,Sum_PAH_ngg,247.52,Unknown,table_p3_ri1_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__2,Sum_PAH_ngg,4545.88,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__3,Sum_PAH_ngg,327.59,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__4,Sum_PAH_ngg,394.86,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__5,Sum_PAH_ngg,190.22,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__6,Sum_PAH_ngg,2062.32,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__7,Sum_PAH_ngg,96.57,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__8,Sum_PAH_ngg,47.17,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__9,Sum_PAH_ngg,1207.0,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__10,Sum_PAH_ngg,634.85,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__11,Sum_PAH_ngg,799.41,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__12,Sum_PAH_ngg,1053.9,Unknown,table_p3_ri12_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__13,Sum_PAH_ngg,492.62,Unknown,table_p3_ri13_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__14,Sum_PAH_ngg,139.89,Unknown,table_p3_ri14_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__15,Sum_PAH_ngg,132.4,Unknown,table_p3_ri15_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__16,Sum_PAH_ngg,51.52,Unknown,table_p3_ri16_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__17,Sum_PAH_ngg,357.63,Unknown,table_p3_ri17_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__18,Sum_PAH_ngg,175.58,Unknown,table_p3_ri18_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__19,Sum_PAH_ngg,114.3,Unknown,table_p3_ri19_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
The_Pollution_Characteristics_and_Full-Scale_Risk_,The_Pollution_Characteristics_and_Full-Scale_Risk__20,Sum_PAH_ngg,11.69,Unknown,table_p3_ri20_ci3,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=,,
