paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envint.2020.105741,_dup_j.envint.2020.105741_col6,SumPBDE_ngg,11.6,Unknown,table_p3_ri23_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.envint.2020.105741,_dup_j.envint.2020.105741_col7,SumPBDE_ngg,61.8,Unknown,table_p3_ri23_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.envint.2020.105741,_dup_j.envint.2020.105741_col8,SumPBDE_ngg,575.0,Unknown,table_p3_ri23_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
