paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_水中溶解度__$/_\mathrm_{_m_g_}_\cdot_\mathrm_{_L_}_^_{_-_1_}$,ENRO_ngg,359.5,Unknown,table_p1_ri4_ci2,soil,,,phase14_batch2; matrix=score=74:high; conf=medium; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_$\mathrm_{_l_g_}_K___{_\mathrm_{_o_w_}_}$,ENRO_ngg,1.1,Unknown,table_p1_ri4_ci4,soil,,,phase14_batch2; matrix=score=74:high; conf=medium; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_LA-CM,OM_pct,50.22,Unknown,table_p2_ri2_ci7,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_LA-CM,OM_pct,3.2,Unknown,table_p2_ri2_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_WC-CM,OM_pct,3.93,Unknown,table_p2_ri3_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_KH-CM,OM_pct,4.44,Unknown,table_p2_ri4_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_LA-PM,OM_pct,2.65,Unknown,table_p2_ri5_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_WC-PM,OM_pct,3.82,Unknown,table_p2_ri6_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_KH-PM,OM_pct,5.92,Unknown,table_p2_ri7_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_LA-CF,OM_pct,3.08,Unknown,table_p2_ri8_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_WC-CF,OM_pct,2.71,Unknown,table_p2_ri9_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦,施用粪肥旱地农田土壤中抗生素的吸附与迁移规律_刘昕悦_KH-CF,OM_pct,4.7,Unknown,table_p2_ri10_ci9,soil,,,phase14_batch2; matrix=score=74:high; conf=high; flag=,,
