paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Minimum,BaP_ngg,1.28,Unknown,table_p3_ri13_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Maximum,BaP_ngg,76.1,Unknown,table_p3_ri13_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_TEF,BaP_ngg,1.0,Unknown,table_p3_ri13_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Maximum,Ind_ngg,30.71,Unknown,table_p3_ri14_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_TEF,Ind_ngg,0.1,Unknown,table_p3_ri14_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Minimum,BghiP_ngg,0.6,Unknown,table_p3_ri16_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Maximum,BghiP_ngg,38.37,Unknown,table_p3_ri16_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_TEF,BghiP_ngg,0.01,Unknown,table_p3_ri16_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Minimum,Sum_PAH_ngg,76.44,Unknown,table_p3_ri17_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_Maximum,Sum_PAH_ngg,890.85,Unknown,table_p3_ri17_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Acy_ngg,0.79,Unknown,table_p5_ri1_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Acy_ngg,0.43,Unknown,table_p5_ri1_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Ace_ngg,0.34,Unknown,table_p5_ri2_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Ace_ngg,0.72,Unknown,table_p5_ri2_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC1,Flu_ngg,0.2,Unknown,table_p5_ri3_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72133_s00244-017-0397-6,72133_s00244-017-0397-6_PC2,Flu_ngg,0.84,Unknown,table_p5_ri3_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
