paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72287_s00128-013-1130-4,72287_s00128-013-1130-4_19902000,SumDDT_ngg,1966.5,Unknown,table_p1_ri2_ci6,sediment,industrial,,phase14_auto; confidence=high; flag=range_mean,,
72287_s00128-013-1130-4,72287_s00128-013-1130-4_19902000,SumDDT_ngg,1979.5,Unknown,table_p1_ri3_ci6,sediment,industrial,,phase14_auto; confidence=high; flag=range_mean,,
72287_s00128-013-1130-4,72287_s00128-013-1130-4_19902000,SumHCH_ngg,1967.5,Unknown,table_p1_ri4_ci6,sediment,industrial,,phase14_auto; confidence=high; flag=range_mean,,
