paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70581_es1007802,70581_es1007802_BJ2,OTC_ngg,0.06,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_TJ2,OTC_ngg,0.08,Unknown,table_p3_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_TJ3,OTC_ngg,0.09,Unknown,table_p3_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_JX2,OTC_ngg,0.1,Unknown,table_p3_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_BJ1,OTC_ngg,0.16,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_TJ1,OTC_ngg,0.33,Unknown,table_p3_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_JX3,OTC_ngg,0.08,Unknown,table_p3_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_BJ3,CTC_ngg,19.47,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70581_es1007802,70581_es1007802_TJ3,CTC_ngg,0.83,Unknown,table_p3_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
