paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.1,SumPCB_ngg,47.0,Unknown,table_p3_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.1,SumPCB_ngg,2.6,Unknown,table_p3_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.1,SumPCB_ngg,6.6,Unknown,table_p3_ri1_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soi1_No.2,SumPCB_ngg,77.0,Unknown,table_p3_ri2_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soi1_No.2,SumPCB_ngg,7.0,Unknown,table_p3_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soi1_No.2,SumPCB_ngg,0.65,Unknown,table_p3_ri2_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No._3,SumPCB_ngg,4.8,Unknown,table_p3_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No._3,SumPCB_ngg,0.31,Unknown,table_p3_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No._3,SumPCB_ngg,0.83,Unknown,table_p3_ri3_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.4,SumPCB_ngg,36.0,Unknown,table_p3_ri4_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.4,SumPCB_ngg,1.0,Unknown,table_p3_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.4,SumPCB_ngg,0.33,Unknown,table_p3_ri4_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No._5,SumPCB_ngg,0.45,Unknown,table_p3_ri5_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No._5,SumPCB_ngg,4.7,Unknown,table_p3_ri5_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No._5,SumPCB_ngg,29.0,Unknown,table_p3_ri5_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.6,SumPCB_ngg,2.1,Unknown,table_p3_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.6,SumPCB_ngg,0.062,Unknown,table_p3_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Soil_No.6,SumPCB_ngg,0.86,Unknown,table_p3_ri6_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_River_sediment*,SumPCB_ngg,1.6,Unknown,table_p3_ri7_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_River_sediment*,SumPCB_ngg,6.1,Unknown,table_p3_ri7_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_River_sediment*,SumPCB_ngg,4.9,Unknown,table_p3_ri7_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Bottom_ash**,SumPCB_ngg,1.0,Unknown,table_p3_ri8_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Bottom_ash**,SumPCB_ngg,1.0,Unknown,table_p3_ri8_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
0045-6535(92)90409-k,0045-6535(92)90409-k_Bottom_ash**,SumPCB_ngg,1.0,Unknown,table_p3_ri8_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
