paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_$S_1_^_{_\mathsf_{_b_}_}$,SumPCB_ngg,1101.4,Unknown,table_p4_ri45_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_S3,SumPCB_ngg,920.08,Unknown,table_p4_ri45_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_S4,SumPCB_ngg,568.15,Unknown,table_p4_ri45_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_S5,SumPCB_ngg,7.34,Unknown,table_p4_ri45_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_S6,SumPCB_ngg,2.01,Unknown,table_p4_ri45_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_Gaseous-phase,SumPCB_ngg,440.37,Unknown,table_p7_ri18_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_Particle-phase,SumPCB_ngg,191.26,Unknown,table_p7_ri18_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_col3,SumPCB_ngg,641.05,Unknown,table_p7_ri18_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_col4,SumPCB_ngg,7.18,Unknown,table_p7_ri18_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_col5,SumPCB_ngg,0.97,Unknown,table_p7_ri18_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72349_s0167-8809(01)00210-9,72349_s0167-8809(01)00210-9_col6,SumPCB_ngg,8.01,Unknown,table_p7_ri18_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
