paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumHCH_ngg,7.98,Unknown,table_p2_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.032,Unknown,table_p2_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumHCH_ngg,78.18,Unknown,table_p2_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumHCH_ngg,8.17,Unknown,table_p2_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_LODs__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.012,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumHCH_ngg,81.32,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumHCH_ngg,5.32,Unknown,table_p2_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_$\mathsf_{_L_O_D_s_}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.016,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Recovery_(%),SumHCH_ngg,69.27,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RSD_(%),SumHCH_ngg,6.15,Unknown,table_p2_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumDDT_ngg,2.93,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumDDT_ngg,24.52,Unknown,table_p2_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumDDT_ngg,1.0,Unknown,table_p2_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumDDT_ngg,0.97,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumDDT_ngg,21.01,Unknown,table_p2_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumDDT_ngg,22.43,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Minimum,SumDDT_ngg,0.44,Unknown,table_p2_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumDDT_ngg,247.45,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Detection_frequencies,SumDDT_ngg,1.0,Unknown,table_p2_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumDDT_ngg,2.5,Unknown,table_p2_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
