paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-019-05830-7,s11356-019-05830-7_PW_(%),Sum_PAH_ngg,28.28,Unknown,table_p6_ri7_ci1,soil,,,phase14_batch2; matrix=score=150:high; conf=medium; flag=,,
s11356-019-05830-7,s11356-019-05830-7_Ryegrass,Sum_PAH_ngg,21.6,Unknown,table_p6_ri7_ci2,soil,,,phase14_batch2; matrix=score=150:high; conf=medium; flag=,,
s11356-019-05830-7,s11356-019-05830-7_Alfalfa,Sum_PAH_ngg,28.41,Unknown,table_p6_ri7_ci3,soil,,,phase14_batch2; matrix=score=150:high; conf=medium; flag=,,
s11356-019-05830-7,s11356-019-05830-7_col4,Sum_PAH_ngg,22.64,Unknown,table_p6_ri7_ci4,soil,,,phase14_batch2; matrix=score=150:high; conf=medium; flag=,,
s11356-019-05830-7,s11356-019-05830-7_col5,Sum_PAH_ngg,30.36,Unknown,table_p6_ri7_ci5,soil,,,phase14_batch2; matrix=score=150:high; conf=medium; flag=,,
