paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumHCH_ngg,2.47,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumHCH_ngg,0.15,Unknown,table_p2_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumHCH_ngg,9.95,Unknown,table_p2_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumHCH_ngg,100.0,Unknown,table_p2_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumHCH_ngg,2.94,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumHCH_ngg,24.96,Unknown,table_p2_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumHCH_ngg,62.5,Unknown,table_p2_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumHCH_ngg,1.68,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumHCH_ngg,0.14,Unknown,table_p2_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumHCH_ngg,4.51,Unknown,table_p2_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumHCH_ngg,100.0,Unknown,table_p2_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumHCH_ngg,2.42,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumHCH_ngg,0.06,Unknown,table_p2_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumHCH_ngg,30.62,Unknown,table_p2_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumHCH_ngg,100.0,Unknown,table_p2_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumHCH_ngg,9.51,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumHCH_ngg,0.38,Unknown,table_p2_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumHCH_ngg,39.52,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumHCH_ngg,100.0,Unknown,table_p2_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_target_values,SumHCH_ngg,50.0,Unknown,table_p2_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumDDT_ngg,49.82,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumDDT_ngg,0.28,Unknown,table_p2_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumDDT_ngg,523.82,Unknown,table_p2_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumDDT_ngg,100.0,Unknown,table_p2_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumDDT_ngg,3.42,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumDDT_ngg,29.5,Unknown,table_p2_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumDDT_ngg,54.2,Unknown,table_p2_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumDDT_ngg,71.17,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumDDT_ngg,0.94,Unknown,table_p2_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumDDT_ngg,700.99,Unknown,table_p2_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_detection_rate/%,SumDDT_ngg,100.0,Unknown,table_p2_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_target_values,SumDDT_ngg,50.0,Unknown,table_p2_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,OC_pct,1.4,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,OC_pct,0.22,Unknown,table_p2_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,OC_pct,3.66,Unknown,table_p2_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_mean_standard_deviation,SumHCH_ngg,1.55,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_minimum,SumHCH_ngg,0.58,Unknown,table_p2_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_maximum,SumHCH_ngg,5.29,Unknown,table_p2_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72217_s11783-011-0354-y,72217_s11783-011-0354-y_α-HCH,SumHCH_ngg,1.0,Unknown,table_p4_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
