paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Flu_ngg,16.395,Unknown,table_p1_ri4_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Phe_ngg,74.05,Unknown,table_p1_ri5_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Ant_ngg,7.72,Unknown,table_p1_ri6_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Flt_ngg,92.2,Unknown,table_p1_ri7_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Pyr_ngg,36.400000000000006,Unknown,table_p1_ri8_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Ant_ngg,31.349999999999998,Unknown,table_p1_ri9_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,BaA_ngg,31.349999999999998,Unknown,table_p1_ri9_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Chr_ngg,32.4,Unknown,table_p1_ri10_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Flt_ngg,38.9,Unknown,table_p1_ri11_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,BbF_ngg,38.9,Unknown,table_p1_ri11_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Flt_ngg,25.7,Unknown,table_p1_ri12_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,BkF_ngg,25.7,Unknown,table_p1_ri12_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Pyr_ngg,34.614999999999995,Unknown,table_p1_ri13_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,BaP_ngg,34.614999999999995,Unknown,table_p1_ri13_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Pyr_ngg,38.6,Unknown,table_p1_ri14_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Ind_ngg,38.6,Unknown,table_p1_ri14_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,BghiP_ngg,23.625,Unknown,table_p1_ri15_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Ant_ngg,20.35,Unknown,table_p1_ri16_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,DahA_ngg,20.35,Unknown,table_p1_ri16_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Sum_PAH_ngg,340.0,Unknown,table_p1_ri17_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Sum_PAH_ngg,206.2,Unknown,table_p1_ri18_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,Sum_PAH_ngg,100.2,Unknown,table_p1_ri19_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
s41598-017-02999-0,s41598-017-02999-0_O-Horizon,OC_pct,23.045,Unknown,table_p1_ri20_ci2,soil,,,phase14_batch2; matrix=score=154:high; conf=high; flag=range_mean,,
