paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0269749122009307,1-s2.0-S0269749122009307_Crab,SumDDT_ngg,4.59,Unknown,table_p3_ri10_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749122009307,1-s2.0-S0269749122009307_Crab,SumDDT_ngg,19.7,Unknown,table_p3_ri11_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0269749122009307,1-s2.0-S0269749122009307_Crab,SumOCP_ngg,32.6,Unknown,table_p3_ri28_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
