paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,Sum_PAH_ngg,70.15,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S1,Sum_PAH_ngg,45.63,Unknown,table_p2_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,Sum_PAH_ngg,17.51,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S2,Sum_PAH_ngg,20.79,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,Sum_PAH_ngg,10.44,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S3,Sum_PAH_ngg,12.47,Unknown,table_p2_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,Sum_PAH_ngg,13.55,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S4,Sum_PAH_ngg,37.65,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,Sum_PAH_ngg,13.92,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S5,Sum_PAH_ngg,7.79,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,Sum_PAH_ngg,6.41,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S6,Sum_PAH_ngg,8.19,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,Sum_PAH_ngg,11.43,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S7,Sum_PAH_ngg,15.77,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,Sum_PAH_ngg,8.62,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_S8,Sum_PAH_ngg,7.37,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,Sum_PAH_ngg,1.95,Unknown,table_p2_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R0,Sum_PAH_ngg,2.89,Unknown,table_p2_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,Sum_PAH_ngg,2.62,Unknown,table_p2_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R1,Sum_PAH_ngg,13.14,Unknown,table_p2_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R2,Sum_PAH_ngg,8.77,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_R2,Sum_PAH_ngg,4.01,Unknown,table_p2_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),Nap_ngg,15.0,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72368_j.envint.2005.05.024,72368_j.envint.2005.05.024_Upper_limit_(ng/g),Phe_ngg,50.0,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
