paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
toxics-11-00941,toxics-11-00941_Med,SumPCB_ngg,32.95,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=290:high; conf=high; flag=,,
toxics-11-00941,toxics-11-00941_Med,SumPCB_ngg,23.05,Unknown,table_p5_ri5_ci1,soil,,,phase14_batch2; matrix=score=290:high; conf=high; flag=,,
toxics-11-00941,toxics-11-00941_Med,SumPCB_ngg,77.35,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=290:high; conf=high; flag=,,
toxics-11-00941,toxics-11-00941_Med,SumPCB_ngg,97.54,Unknown,table_p6_ri5_ci1,soil,,,phase14_batch2; matrix=score=290:high; conf=high; flag=,,
