paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_This_study,SumDDT_ngg,0.63,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_This_study,SumHCH_ngg,0.35,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_1γ-_HCHδ-_HCH0&#x27;p-DDE_0&#x27;p-DDD_o&#x27;p-DDT_p&#x27;p-DDE_p&#x27;p-DDD_p&#x27;p-DDT,SumHCH_ngg,1.0,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_i_n_g_}_(_1_0_^_{_-_6_}_)$,SumHCH_ngg,0.95,Unknown,table_p6_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_i_n_g_}_(_1_0_^_{_-_6_}_)$,SumDDT_ngg,1.74,Unknown,table_p6_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_i_n_g_}_(_1_0_^_{_-_6_}_)$,SumOCP_ngg,4.6,Unknown,table_p6_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_i_n_g_}_(_1_0_^_{_-_6_}_)$,OC_pct,4.6,Unknown,table_p6_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_d_e_r_m_}_^_{_\phantom_{_-_}_}_\left(_1_0_^_{_-_6_}_\right)$,SumHCH_ngg,0.62,Unknown,table_p6_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_d_e_r_m_}_^_{_\phantom_{_-_}_}_\left(_1_0_^_{_-_6_}_\right)$,SumDDT_ngg,1.15,Unknown,table_p6_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_d_e_r_m_}_^_{_\phantom_{_-_}_}_\left(_1_0_^_{_-_6_}_\right)$,SumOCP_ngg,3.03,Unknown,table_p6_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$C_R___{_d_e_r_m_}_^_{_\phantom_{_-_}_}_\left(_1_0_^_{_-_6_}_\right)$,OC_pct,3.03,Unknown,table_p6_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$\underline_{_{_C_R_}_}___{_i_n_h_}_(_1_0_^_{_-_7_}_)$,SumHCH_ngg,0.02,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$\underline_{_{_C_R_}_}___{_i_n_h_}_(_1_0_^_{_-_7_}_)$,SumDDT_ngg,0.04,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$\underline_{_{_C_R_}_}___{_i_n_h_}_(_1_0_^_{_-_7_}_)$,SumOCP_ngg,0.1,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72141_sssaj2013.12.0547,72141_sssaj2013.12.0547_$\underline_{_{_C_R_}_}___{_i_n_h_}_(_1_0_^_{_-_7_}_)$,OC_pct,0.1,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
