paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,Flu_ngg,0.31,Unknown,table_p3_ri12_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,Flu_ngg,2.71,Unknown,table_p3_ri12_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,BaA_ngg,0.67,Unknown,table_p3_ri13_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,Chr_ngg,0.63,Unknown,table_p3_ri14_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,Chr_ngg,1.64,Unknown,table_p3_ri14_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,Pyr_ngg,0.34,Unknown,table_p3_ri15_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,Pyr_ngg,1.56,Unknown,table_p3_ri15_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,BaP_ngg,0.17,Unknown,table_p3_ri16_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,BaP_ngg,0.71,Unknown,table_p3_ri16_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,BkF_ngg,0.11,Unknown,table_p3_ri17_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,BkF_ngg,0.43,Unknown,table_p3_ri17_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,Sum_PAH_ngg,3.91,Unknown,table_p3_ri21_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,Sum_PAH_ngg,54.4,Unknown,table_p3_ri21_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,Sum_PAH_ngg,1.63,Unknown,table_p3_ri22_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,Sum_PAH_ngg,5.24,Unknown,table_p3_ri22_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA1-4_and_7-18)_IBPC-600,Sum_PAH_ngg,1.45,Unknown,table_p3_ri23_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_CFPPs_(FA5_and_6)_IBPC-200/300,Sum_PAH_ngg,5.4,Unknown,table_p3_ri23_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,Phe_ngg,0.005,Unknown,table_p5_ri2_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Phe_ngg,11.4,Unknown,table_p5_ri2_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Phe_ngg,6.67,Unknown,table_p5_ri2_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,Ant_ngg,0.005,Unknown,table_p5_ri3_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Ant_ngg,1.5,Unknown,table_p5_ri3_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Ant_ngg,0.934,Unknown,table_p5_ri3_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,Flu_ngg,0.05,Unknown,table_p5_ri4_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Flu_ngg,26.4,Unknown,table_p5_ri4_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Flu_ngg,26.7,Unknown,table_p5_ri4_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,Pyr_ngg,0.001,Unknown,table_p5_ri5_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Pyr_ngg,0.306,Unknown,table_p5_ri5_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Pyr_ngg,0.528,Unknown,table_p5_ri5_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,BaA_ngg,0.005,Unknown,table_p5_ri6_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,BaA_ngg,0.889,Unknown,table_p5_ri6_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,BaA_ngg,1.23,Unknown,table_p5_ri6_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,Chr_ngg,0.03,Unknown,table_p5_ri7_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Chr_ngg,10.9,Unknown,table_p5_ri7_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Chr_ngg,7.95,Unknown,table_p5_ri7_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,BbF_ngg,0.1,Unknown,table_p5_ri8_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,BbF_ngg,46.6,Unknown,table_p5_ri8_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,BbF_ngg,43.7,Unknown,table_p5_ri8_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,BkF_ngg,0.05,Unknown,table_p5_ri9_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,BkF_ngg,4.18,Unknown,table_p5_ri9_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,BkF_ngg,2.44,Unknown,table_p5_ri9_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,BaP_ngg,1.0,Unknown,table_p5_ri10_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,BaP_ngg,100.0,Unknown,table_p5_ri10_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,BaP_ngg,100.0,Unknown,table_p5_ri10_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,Ind_ngg,0.1,Unknown,table_p5_ri11_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Ind_ngg,9.2,Unknown,table_p5_ri11_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Ind_ngg,9.15,Unknown,table_p5_ri11_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col1,BghiP_ngg,0.02,Unknown,table_p5_ri13_ci1,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,BghiP_ngg,1.98,Unknown,table_p5_ri13_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,BghiP_ngg,4.15,Unknown,table_p5_ri13_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col2,Sum_PAH_ngg,3.88,Unknown,table_p5_ri14_ci2,soil,industrial,,phase14_auto; confidence=medium; flag=,,
aaqr-16-10-oa-0430,aaqr-16-10-oa-0430_col3,Sum_PAH_ngg,113.0,Unknown,table_p5_ri14_ci3,soil,industrial,,phase14_auto; confidence=medium; flag=,,
