paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Nap_ngg,185.2,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Nap_ngg,99.22,Unknown,table_p2_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Acy_ngg,118.44,Unknown,table_p2_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Acy_ngg,66.41,Unknown,table_p2_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Ace_ngg,141.32,Unknown,table_p2_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Ace_ngg,27.34,Unknown,table_p2_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Flu_ngg,224.54,Unknown,table_p2_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Flu_ngg,89.06,Unknown,table_p2_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Phe_ngg,4.92,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Phe_ngg,1088.96,Unknown,table_p2_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Phe_ngg,100.0,Unknown,table_p2_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Ant_ngg,287.25,Unknown,table_p2_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Ant_ngg,92.19,Unknown,table_p2_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Flt_ngg,7.1,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Flt_ngg,1524.12,Unknown,table_p2_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Flt_ngg,100.0,Unknown,table_p2_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Pyr_ngg,5.46,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Pyr_ngg,1235.8,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Pyr_ngg,100.0,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,BaA_ngg,2.19,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,BaA_ngg,786.17,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),BaA_ngg,100.0,Unknown,table_p2_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Chr_ngg,7.65,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Chr_ngg,908.9,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Chr_ngg,100.0,Unknown,table_p2_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,BbF_ngg,6.56,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,BbF_ngg,1141.48,Unknown,table_p2_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),BbF_ngg,100.0,Unknown,table_p2_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,BkF_ngg,4.69,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,BkF_ngg,424.44,Unknown,table_p2_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),BkF_ngg,100.0,Unknown,table_p2_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,BaP_ngg,5.22,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,BaP_ngg,975.88,Unknown,table_p2_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),BaP_ngg,100.0,Unknown,table_p2_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Minimum,Sum_PAH_ngg,51.91,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_Maximum,Sum_PAH_ngg,10523.58,Unknown,table_p2_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72423_s00244-014-0083-x,72423_s00244-014-0083-x_DF_(%),Sum_PAH_ngg,100.0,Unknown,table_p2_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
