paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-08906-6,s41598-022-08906-6_N8,pH,0.68,Unknown,table_p7_ri20_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_N9,pH,2.35,Unknown,table_p7_ri21_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_N9,pH,1.03,Unknown,table_p7_ri21_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_N10,pH,2.83,Unknown,table_p7_ri22_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_N10,pH,1.16,Unknown,table_p7_ri22_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y1,pH,0.82,Unknown,table_p7_ri23_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y1,pH,0.83,Unknown,table_p7_ri23_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y3,pH,2.34,Unknown,table_p7_ri25_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y3,pH,1.23,Unknown,table_p7_ri25_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y4,pH,1.24,Unknown,table_p7_ri26_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y4,pH,1.31,Unknown,table_p7_ri26_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y5,pH,0.53,Unknown,table_p7_ri27_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y5,pH,0.94,Unknown,table_p7_ri27_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Y6,pH,2.39,Unknown,table_p7_ri28_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
