paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
65858_etc.668,65858_etc.668_Recycling_sites_(n_=6),SumPBDE_ngg,919.0,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Recycling_sites_(n_=2),SumPBDE_ngg,1154.0,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Transformer_recycling_sites_(n_=6),SumPBDE_ngg,945.0,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Road_soil_near_recycling_sites_(n_=29),SumPBDE_ngg,1150.0,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Recycling_sites_(n_=4),SumPBDE_ngg,663.0,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Recycling_sites_(n=4),SumPBDE_ngg,455.0,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Rice_field_sites_(n=3),SumPBDE_ngg,7.79,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Farmland_sites_(n=_33),SumPBDE_ngg,9.64,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Agricultural_land_sites_(n_=3),SumPBDE_ngg,7.9,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Farmland_sites_(n_=_23),SumPBDE_ngg,7.53,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Farmland_sites_(n_=_27),SumPBDE_ngg,8.26,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Near_a_PUF_manufacturing_plant_(n_=_3),SumPBDE_ngg,29.9,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Industrial_area_site_(n_=_8),SumPBDE_ngg,1.73,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_E&amp;E_equipment_manufacturing_zone_(n=_3),SumPBDE_ngg,4.5,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Sewage_sludge_applied_field_(n_=_5),SumPBDE_ngg,17.5,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Industrial_area_site_(n_=32),SumPBDE_ngg,3.96,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Remote_grassland_and_woodland_(n_=_66),SumPBDE_ngg,6.035,Unknown,table_p3_ri21_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
65858_etc.668,65858_etc.668_Farmland_sites_(n_=12),SumPBDE_ngg,0.12,Unknown,table_p3_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Rural-urban_sites_(n_=_11),SumPBDE_ngg,0.64,Unknown,table_p3_ri23_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Rural-urban_sites_(n_=_10),SumPBDE_ngg,0.43,Unknown,table_p3_ri24_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
65858_etc.668,65858_etc.668_Rural_farmland_sites_(n_=3),SumPBDE_ngg,0.39,Unknown,table_p3_ri25_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
