paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumHCH_ngg,2.01,Unknown,table_p4_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumHCH_ngg,0.09,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumHCH_ngg,1.4,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumHCH_ngg,100.0,Unknown,table_p4_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Min.,SumHCH_ngg,0.01,Unknown,table_p4_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumHCH_ngg,0.53,Unknown,table_p4_ri3_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumHCH_ngg,0.05,Unknown,table_p4_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumHCH_ngg,2.15,Unknown,table_p4_ri3_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumHCH_ngg,100.0,Unknown,table_p4_ri3_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumHCH_ngg,0.24,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumHCH_ngg,0.08,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumHCH_ngg,0.75,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumHCH_ngg,94.0,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumHCH_ngg,0.3,Unknown,table_p4_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumHCH_ngg,0.03,Unknown,table_p4_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumHCH_ngg,1.67,Unknown,table_p4_ri4_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumHCH_ngg,97.0,Unknown,table_p4_ri4_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumHCH_ngg,9.38,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumHCH_ngg,1.45,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumHCH_ngg,1.41,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumHCH_ngg,100.0,Unknown,table_p4_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Min.,SumHCH_ngg,0.01,Unknown,table_p4_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumHCH_ngg,0.84,Unknown,table_p4_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumHCH_ngg,0.09,Unknown,table_p4_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumHCH_ngg,1.85,Unknown,table_p4_ri5_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumHCH_ngg,100.0,Unknown,table_p4_ri5_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumDDT_ngg,22.18,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumDDT_ngg,2.38,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumDDT_ngg,2.01,Unknown,table_p4_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumDDT_ngg,100.0,Unknown,table_p4_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumDDT_ngg,0.26,Unknown,table_p4_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumDDT_ngg,0.03,Unknown,table_p4_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumDDT_ngg,1.46,Unknown,table_p4_ri10_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumDDT_ngg,84.0,Unknown,table_p4_ri10_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumDDT_ngg,90.38,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumDDT_ngg,8.58,Unknown,table_p4_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumDDT_ngg,2.09,Unknown,table_p4_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumDDT_ngg,100.0,Unknown,table_p4_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumDDT_ngg,0.28,Unknown,table_p4_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumDDT_ngg,0.04,Unknown,table_p4_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumDDT_ngg,1.23,Unknown,table_p4_ri11_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumDDT_ngg,88.0,Unknown,table_p4_ri11_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Ingestion,SumHCH_ngg,2.21e-09,Unknown,table_p8_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Ingestion,SumDDT_ngg,2.55e-10,Unknown,table_p8_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S3,SumHCH_ngg,1.2e-07,Unknown,table_p8_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S3,SumDDT_ngg,1.38e-08,Unknown,table_p8_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S4,SumHCH_ngg,1.6e-08,Unknown,table_p8_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S4,SumDDT_ngg,1.85e-09,Unknown,table_p8_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Inhalation_Min.,SumHCH_ngg,8.29e-14,Unknown,table_p8_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Inhalation_Min.,SumDDT_ngg,3.83e-14,Unknown,table_p8_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S6,SumHCH_ngg,4.5e-12,Unknown,table_p8_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S6,SumDDT_ngg,2.08e-12,Unknown,table_p8_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S7,SumHCH_ngg,6.02e-13,Unknown,table_p8_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S7,SumDDT_ngg,2.78e-13,Unknown,table_p8_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Dermal,SumHCH_ngg,3.98e-10,Unknown,table_p8_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Dermal,SumDDT_ngg,5.1e-11,Unknown,table_p8_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_contact,SumHCH_ngg,2.16e-08,Unknown,table_p8_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_contact,SumDDT_ngg,2.77e-09,Unknown,table_p8_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S10,SumHCH_ngg,2.89e-09,Unknown,table_p8_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S10,SumDDT_ngg,3.7e-102,Unknown,table_p8_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_S11,SumHCH_ngg,0.0002,Unknown,table_p8_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
