paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumHCH_ngg,2.01,Unknown,table_p4_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumHCH_ngg,0.3,Unknown,table_p4_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumHCH_ngg,1.62,Unknown,table_p4_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumHCH_ngg,100.0,Unknown,table_p4_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Min.,SumHCH_ngg,0.1,Unknown,table_p4_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumHCH_ngg,120.49,Unknown,table_p4_ri1_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumHCH_ngg,12.52,Unknown,table_p4_ri1_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumHCH_ngg,1.9,Unknown,table_p4_ri1_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumHCH_ngg,100.0,Unknown,table_p4_ri1_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumHCH_ngg,8.07,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_(ng/g）_(ng/g）_dev,SumHCH_ngg,0.69,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_of_variance_frequency,SumHCH_ngg,2.39,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_(%,SumHCH_ngg,97.0,Unknown,table_p4_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max._(ng/g）_(ng/g）,SumHCH_ngg,11.71,Unknown,table_p4_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Mean_Std._(ng/g）_dev,SumHCH_ngg,1.21,Unknown,table_p4_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Coefficient_Detection_of_variance,SumHCH_ngg,2.21,Unknown,table_p4_ri2_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_frequency_(%,SumHCH_ngg,97.0,Unknown,table_p4_ri2_ci13,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72310_s11356-014-2505-8,72310_s11356-014-2505-8_Max.,SumHCH_ngg,0.58,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
