paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
land-14-00612,"land-14-00612_Kaifeng_City,_China",SumHCH_ngg,45.35,Unknown,table_p7_ri1_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Kaifeng_City,_China",SumDDT_ngg,119.76,Unknown,table_p7_ri1_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Three_Gorges_Dam_region,_China",SumHCH_ngg,1.27,Unknown,table_p7_ri2_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Three_Gorges_Dam_region,_China",SumDDT_ngg,1.8,Unknown,table_p7_ri2_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Qinghai_Province,_China",SumHCH_ngg,4.78,Unknown,table_p7_ri3_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Qinghai_Province,_China",SumDDT_ngg,7.76,Unknown,table_p7_ri3_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Pearl_River_Delta,_China",SumHCH_ngg,4.52,Unknown,table_p7_ri4_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Pearl_River_Delta,_China",SumDDT_ngg,34.2,Unknown,table_p7_ri4_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Yangtze_River_Basin,_China",SumHCH_ngg,13.04,Unknown,table_p7_ri5_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Yangtze_River_Basin,_China",SumDDT_ngg,8.9,Unknown,table_p7_ri5_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Yellow_River_basin,_China",SumHCH_ngg,6.23,Unknown,table_p7_ri6_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Yellow_River_basin,_China",SumDDT_ngg,16.78,Unknown,table_p7_ri6_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Mai_Mahiu,_Kenya",SumHCH_ngg,1.5,Unknown,table_p7_ri7_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Mai_Mahiu,_Kenya",SumDDT_ngg,3.51,Unknown,table_p7_ri7_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Narok,_Kenya",SumHCH_ngg,1.62,Unknown,table_p7_ri8_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_Narok,_Kenya",SumDDT_ngg,4.71,Unknown,table_p7_ri8_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Indus_Basin,_Pakistan",SumHCH_ngg,15.41,Unknown,table_p7_ri9_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Indus_Basin,_Pakistan",SumDDT_ngg,142.26,Unknown,table_p7_ri9_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Campanian_Plain,_Italy",SumHCH_ngg,1.38,Unknown,table_p7_ri10_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,"land-14-00612_The_Campanian_Plain,_Italy",SumDDT_ngg,107.0,Unknown,table_p7_ri10_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,land-14-00612_Risk_Screening_Value_(μg·kg−1),SumHCH_ngg,100.0,Unknown,table_p9_ri1_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,land-14-00612_Pass_Rate_(%),SumHCH_ngg,100.0,Unknown,table_p9_ri1_ci3,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,land-14-00612_Risk_Screening_Value_(μg·kg−1),SumDDT_ngg,100.0,Unknown,table_p9_ri2_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,land-14-00612_Pass_Rate_(%),SumDDT_ngg,100.0,Unknown,table_p9_ri2_ci3,soil,,,phase14_batch2; matrix=score=171:high; conf=high; flag=,,
land-14-00612,land-14-00612_$\mathbf_{_E_R_L_}_(_\mu_\mathbf_{_g_}_\cdot_\mathbf_{_k_g_}_^_{_-_1_}_)$,SumDDT_ngg,1.58,Unknown,table_p10_ri4_ci1,soil,,,phase14_batch2; matrix=score=171:high; conf=medium; flag=,,
land-14-00612,land-14-00612_$\mathbf_{_E_R_M_}_(_\mathbf_{_\mu_g_}_\mathbf_{_\cdot_k_g_}_^_{_-_1_}_)$,SumDDT_ngg,46.1,Unknown,table_p10_ri4_ci2,soil,,,phase14_batch2; matrix=score=171:high; conf=medium; flag=,,
land-14-00612,land-14-00612_&lt;ERL_(%),SumDDT_ngg,17.39,Unknown,table_p10_ri4_ci4,soil,,,phase14_batch2; matrix=score=171:high; conf=medium; flag=,,
land-14-00612,land-14-00612_ERL~ERM_(%),SumDDT_ngg,82.61,Unknown,table_p10_ri4_ci5,soil,,,phase14_batch2; matrix=score=171:high; conf=medium; flag=,,
