paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Nap_ngg,3.80518e-05,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,Nap_ngg,2.50183e-08,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Flu_ngg,1.76401e-05,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,Flu_ngg,1.28384e-09,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Ant_ngg,6.84754e-06,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,Ant_ngg,1.93455e-10,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Pyr_ngg,1.51192e-06,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,Pyr_ngg,9.43129e-12,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,BaA_ngg,1.11776e-06,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,BaA_ngg,5.15467e-12,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Chr_ngg,5.52505e-07,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,Chr_ngg,1.25947e-12,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,BbF_ngg,1.68372e-07,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,BbF_ngg,1.16961e-13,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,BkF_ngg,1.63824e-07,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,BkF_ngg,1.10727e-13,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,BaP_ngg,1.52364e-07,Unknown,table_p3_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_lower_soil_into_the_outdoor_air_$(_\mathsf_{_v_}_\mathsf_{_F_}___{_\mathsf_{_s_u_b_o_a_}_}_)$,BaP_ngg,9.57768e-14,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Ind_ngg,9.43315e-08,Unknown,table_p3_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
