paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
02757540802657193,02757540802657193_Rings,Nap_ngg,2.0,Unknown,table_p4_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Nap_ngg,53.6,Unknown,table_p4_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Nap_ngg,0.0,Unknown,table_p4_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,Acy_ngg,3.0,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Acy_ngg,1.78,Unknown,table_p4_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Acy_ngg,0.0,Unknown,table_p4_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,Ace_ngg,3.0,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Ace_ngg,16.1,Unknown,table_p4_ri3_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Ace_ngg,0.0,Unknown,table_p4_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,Phe_ngg,3.0,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Phe_ngg,98.2,Unknown,table_p4_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Phe_ngg,16.07,Unknown,table_p4_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,Flu_ngg,4.0,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Flu_ngg,98.2,Unknown,table_p4_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Flu_ngg,3.57,Unknown,table_p4_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,Pyr_ngg,4.0,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Pyr_ngg,100.0,Unknown,table_p4_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Pyr_ngg,5.36,Unknown,table_p4_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,BaA_ngg,4.0,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),BaA_ngg,100.0,Unknown,table_p4_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,BaA_ngg,5.36,Unknown,table_p4_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,Chr_ngg,4.0,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),Chr_ngg,100.0,Unknown,table_p4_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,Chr_ngg,10.71,Unknown,table_p4_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,BbF_ngg,5.0,Unknown,table_p4_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),BbF_ngg,100.0,Unknown,table_p4_ri11_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,BbF_ngg,3.57,Unknown,table_p4_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,BkF_ngg,5.0,Unknown,table_p4_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),BkF_ngg,100.0,Unknown,table_p4_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,BkF_ngg,1.79,Unknown,table_p4_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_Rings,BaP_ngg,5.0,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_DR(%),BaP_ngg,100.0,Unknown,table_p4_ri13_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
02757540802657193,02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,BaP_ngg,3.57,Unknown,table_p4_ri13_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
