paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
es202284p,es202284p_e-waste_site,SumPBDE_ngg,9004.5,Unknown,table_p1_ri11_ci1,soil,,,phase14_batch2; matrix=score=6:low; conf=high; flag=range_mean,,
es202284p,es202284p_col3,OC_pct,0.77,Unknown,table_p5_ri5_ci3,soil,,,phase14_batch2; matrix=score=6:low; conf=medium; flag=,,
es202284p,es202284p_col5,OC_pct,70.0,Unknown,table_p5_ri5_ci5,soil,,,phase14_batch2; matrix=score=6:low; conf=medium; flag=,,
es202284p,es202284p_col8,OC_pct,0.6,Unknown,table_p5_ri5_ci8,soil,,,phase14_batch2; matrix=score=6:low; conf=medium; flag=,,
es202284p,es202284p_col10,OC_pct,49.0,Unknown,table_p5_ri5_ci10,soil,,,phase14_batch2; matrix=score=6:low; conf=medium; flag=,,
