paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Nap_ngg,144.41000000000003,Unknown,table_p8_ri2_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Nap_ngg,113.19,Unknown,table_p8_ri2_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Acy_ngg,24.73,Unknown,table_p8_ri3_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Acy_ngg,72.895,Unknown,table_p8_ri3_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Ace_ngg,16.665,Unknown,table_p8_ri4_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Ace_ngg,47.075,Unknown,table_p8_ri4_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Flu_ngg,26.415,Unknown,table_p8_ri5_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Flu_ngg,82.52,Unknown,table_p8_ri5_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Phe_ngg,194.205,Unknown,table_p8_ri6_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Phe_ngg,642.1,Unknown,table_p8_ri6_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Ant_ngg,30.06,Unknown,table_p8_ri7_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Ant_ngg,157.85,Unknown,table_p8_ri7_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,Pyr_ngg,392.46,Unknown,table_p8_ri9_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,Pyr_ngg,872.67,Unknown,table_p8_ri9_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col2,BaA_ngg,507.55,Unknown,table_p8_ri10_ci2,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
Wang T - 2023 - Spatial distribution and source ap,Wang T - 2023 - Spatial distribution and source ap_col4,BaA_ngg,746.6949999999999,Unknown,table_p8_ri10_ci4,soil,,,phase14_batch2; matrix=score=175:high; conf=medium; flag=,,
