paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
file,file_VGaomiao,Sum_PAH_ngg,2.3,Unknown,table_p9_ri1_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGaomiao,Phe_ngg,0.5,Unknown,table_p9_ri1_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGaomiao,Ant_ngg,0.5,Unknown,table_p9_ri1_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGaomiao,Pyr_ngg,0.6,Unknown,table_p9_ri1_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGaomiao,BaA_ngg,0.5,Unknown,table_p9_ri1_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGaomiao,Chr_ngg,0.5,Unknown,table_p9_ri1_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VJiangwu,Sum_PAH_ngg,5.6,Unknown,table_p9_ri2_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VJiangwu,Phe_ngg,0.5,Unknown,table_p9_ri2_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VJiangwu,Ant_ngg,0.5,Unknown,table_p9_ri2_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VJiangwu,Pyr_ngg,0.6,Unknown,table_p9_ri2_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VJiangwu,BaA_ngg,0.5,Unknown,table_p9_ri2_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VJiangwu,Chr_ngg,0.5,Unknown,table_p9_ri2_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiulin,Sum_PAH_ngg,3.2,Unknown,table_p9_ri3_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiulin,Phe_ngg,0.5,Unknown,table_p9_ri3_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiulin,Ant_ngg,0.5,Unknown,table_p9_ri3_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiulin,Pyr_ngg,0.4,Unknown,table_p9_ri3_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiulin,BaA_ngg,0.5,Unknown,table_p9_ri3_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiulin,Chr_ngg,0.5,Unknown,table_p9_ri3_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VMoling,Sum_PAH_ngg,3.8,Unknown,table_p9_ri4_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VMoling,Phe_ngg,0.5,Unknown,table_p9_ri4_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VMoling,Ant_ngg,0.5,Unknown,table_p9_ri4_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VMoling,Pyr_ngg,0.6,Unknown,table_p9_ri4_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VMoling,BaA_ngg,0.5,Unknown,table_p9_ri4_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VMoling,Chr_ngg,0.5,Unknown,table_p9_ri4_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VShijia,Sum_PAH_ngg,1.6,Unknown,table_p9_ri5_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VShijia,Phe_ngg,0.1,Unknown,table_p9_ri5_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VShijia,Ant_ngg,0.1,Unknown,table_p9_ri5_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VShijia,Pyr_ngg,0.7,Unknown,table_p9_ri5_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VShijia,BaA_ngg,0.5,Unknown,table_p9_ri5_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VShijia,Chr_ngg,0.5,Unknown,table_p9_ri5_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VWeijia,Sum_PAH_ngg,3.2,Unknown,table_p9_ri6_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VWeijia,Phe_ngg,0.5,Unknown,table_p9_ri6_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VWeijia,Ant_ngg,0.5,Unknown,table_p9_ri6_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VWeijia,Pyr_ngg,0.8,Unknown,table_p9_ri6_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VWeijia,BaA_ngg,0.5,Unknown,table_p9_ri6_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VWeijia,Chr_ngg,0.5,Unknown,table_p9_ri6_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXicha,Sum_PAH_ngg,3.9,Unknown,table_p9_ri7_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXicha,Phe_ngg,0.4,Unknown,table_p9_ri7_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXicha,Ant_ngg,0.4,Unknown,table_p9_ri7_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXicha,Pyr_ngg,0.4,Unknown,table_p9_ri7_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXicha,BaA_ngg,0.5,Unknown,table_p9_ri7_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXicha,Chr_ngg,0.5,Unknown,table_p9_ri7_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXiwang,Sum_PAH_ngg,5.8,Unknown,table_p9_ri8_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXiwang,Phe_ngg,0.4,Unknown,table_p9_ri8_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXiwang,Ant_ngg,0.4,Unknown,table_p9_ri8_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXiwang,Pyr_ngg,0.5,Unknown,table_p9_ri8_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXiwang,BaA_ngg,0.5,Unknown,table_p9_ri8_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXiwang,Chr_ngg,0.5,Unknown,table_p9_ri8_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXingnan,Sum_PAH_ngg,5.1,Unknown,table_p9_ri9_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXingnan,Phe_ngg,0.4,Unknown,table_p9_ri9_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXingnan,Ant_ngg,0.4,Unknown,table_p9_ri9_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXingnan,Pyr_ngg,0.5,Unknown,table_p9_ri9_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXingnan,BaA_ngg,0.5,Unknown,table_p9_ri9_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VXingnan,Chr_ngg,0.5,Unknown,table_p9_ri9_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VChangjia,Sum_PAH_ngg,5.5,Unknown,table_p9_ri10_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VChangjia,Phe_ngg,0.5,Unknown,table_p9_ri10_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VChangjia,Ant_ngg,0.5,Unknown,table_p9_ri10_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VChangjia,Pyr_ngg,0.6,Unknown,table_p9_ri10_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VChangjia,BaA_ngg,0.5,Unknown,table_p9_ri10_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VChangjia,Chr_ngg,0.5,Unknown,table_p9_ri10_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGuanmiao,Sum_PAH_ngg,2.8,Unknown,table_p9_ri11_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGuanmiao,Phe_ngg,0.6,Unknown,table_p9_ri11_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGuanmiao,Ant_ngg,0.6,Unknown,table_p9_ri11_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGuanmiao,Pyr_ngg,0.3,Unknown,table_p9_ri11_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGuanmiao,BaA_ngg,0.5,Unknown,table_p9_ri11_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VGuanmiao,Chr_ngg,0.5,Unknown,table_p9_ri11_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiangzhao,Sum_PAH_ngg,4.7,Unknown,table_p9_ri12_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiangzhao,Phe_ngg,0.6,Unknown,table_p9_ri12_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiangzhao,Ant_ngg,0.6,Unknown,table_p9_ri12_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiangzhao,Pyr_ngg,0.4,Unknown,table_p9_ri12_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiangzhao,BaA_ngg,0.5,Unknown,table_p9_ri12_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VLiangzhao,Chr_ngg,0.5,Unknown,table_p9_ri12_ci4,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VDujia,Sum_PAH_ngg,2.3,Unknown,table_p9_ri13_ci1,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VDujia,Phe_ngg,0.5,Unknown,table_p9_ri13_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VDujia,Ant_ngg,0.5,Unknown,table_p9_ri13_ci2,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
file,file_VDujia,Pyr_ngg,0.1,Unknown,table_p9_ri13_ci3,soil,,,phase14_batch2; matrix=score=268:high; conf=high; flag=,,
