paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Samples_of_well_soil_in_Zhongyuan_Oilfield_area_have_been_used_for_more_than,TotalPHC_mgkg,327.805,Unknown,table_p5_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_three_years_Soil_surrounding_Changqing_Oilfield,TotalPHC_mgkg,1025.795,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Contaminated_soil_around_Yanchang,TotalPHC_mgkg,2196.045,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Oilfield_Oil-contaminated_soil_within_50_m-200_m_range_of_oil_well_of_Daqing_No._3_Oil,TotalPHC_mgkg,91600.0,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Production_Plant_Oil_-_polluted_soil_in_Dingbian_County_of_northern_Shaanxi_Oil_field,TotalPHC_mgkg,146500.0,Unknown,table_p5_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_rings,Nap_ngg,2.0,Unknown,table_p9_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Minimum,Nap_ngg,5.8,Unknown,table_p9_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Maximum,Nap_ngg,323.54,Unknown,table_p9_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Standard_deviation,Nap_ngg,10.84,Unknown,table_p9_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_rings,Acy_ngg,3.0,Unknown,table_p9_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0025326X25010434,1-s2.0-S0025326X25010434_Minimum,Acy_ngg,6.15,Unknown,table_p9_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
