paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,BaA_ngg,0.1,Unknown,table_p3_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),BaA_ngg,0.0463,Unknown,table_p3_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,Chr_ngg,139.0,Unknown,table_p3_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,Chr_ngg,0.01,Unknown,table_p3_ri11_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),Chr_ngg,0.00952,Unknown,table_p3_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,BkF_ngg,59.1,Unknown,table_p3_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,BkF_ngg,0.01,Unknown,table_p3_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),BkF_ngg,0.00401,Unknown,table_p3_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,BbF_ngg,22.0,Unknown,table_p3_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,BbF_ngg,0.01,Unknown,table_p3_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),BbF_ngg,0.000813,Unknown,table_p3_ri13_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,BaP_ngg,73.2,Unknown,table_p3_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_TEFb,BaP_ngg,1.0,Unknown,table_p3_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_Carcinogenic_groupc,BaP_ngg,1.0,Unknown,table_p3_ri16_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),BaP_ngg,0.244,Unknown,table_p3_ri16_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_SDª,OC_pct,4.51,Unknown,table_p3_ri26_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72403_s00128-021-03312-6,72403_s00128-021-03312-6_BaPeqd_(mg_BaPeq_/kg),OC_pct,1.0,Unknown,table_p3_ri26_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
