paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Nap_ngg,12.3,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Ace_ngg,1.6,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Phe_ngg,13.9,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Ant_ngg,2.7,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Flu_ngg,1.7,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Pyr_ngg,1.4,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Chr_ngg,7.8,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,BaA_ngg,9.3,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,Ind_ngg,24.6,Unknown,table_p3_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Maximum_acceptable_limit_for_PAH_soil_concentrations,BghiP_ngg,24.7,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Nap_ngg,85.0,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Ace_ngg,63.5,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Phe_ngg,86.0,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Ant_ngg,45.5,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Flu_ngg,29.5,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Pyr_ngg,23.0,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,BaA_ngg,30.5,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,Chr_ngg,105.5,Unknown,table_p3_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,BaP_ngg,28.5,Unknown,table_p3_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70595_c0em00098a,70595_c0em00098a_Edible_parts_of_vegetables,BghiP_ngg,51.0,Unknown,table_p3_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
