paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,Sum_PAH_ngg,498.0,Unknown,table_p8_ri2_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,Sum_PAH_ngg,29.0,Unknown,table_p8_ri2_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,Sum_PAH_ngg,376.0,Unknown,table_p8_ri2_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,Sum_PAH_ngg,21.0,Unknown,table_p8_ri2_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,OC_pct,21.0,Unknown,table_p8_ri2_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,BaA_ngg,0.16,Unknown,table_p8_ri2_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,Chr_ngg,0.16,Unknown,table_p8_ri2_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_A2,BghiP_ngg,0.38,Unknown,table_p8_ri2_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,Sum_PAH_ngg,672.0,Unknown,table_p8_ri3_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,Sum_PAH_ngg,485.0,Unknown,table_p8_ri3_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,Sum_PAH_ngg,187.0,Unknown,table_p8_ri3_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_B1,Sum_PAH_ngg,82.0,Unknown,table_p8_ri3_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
