paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15275922.2013.814180,15275922.2013.814180_Background_soil_11,TotalPHC_mgkg,3.12,Unknown,table_p6_ri11_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_11,TotalPHC_mgkg,0.5,Unknown,table_p6_ri11_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_11,TotalPHC_mgkg,1.44,Unknown,table_p6_ri11_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_11,TotalPHC_mgkg,15.9,Unknown,table_p6_ri11_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_11,TotalPHC_mgkg,46.2,Unknown,table_p6_ri11_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_11,TotalPHC_mgkg,44.5,Unknown,table_p6_ri11_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_12,TotalPHC_mgkg,2.99,Unknown,table_p6_ri12_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_12,TotalPHC_mgkg,0.3,Unknown,table_p6_ri12_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_12,TotalPHC_mgkg,1.28,Unknown,table_p6_ri12_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_12,TotalPHC_mgkg,9.87,Unknown,table_p6_ri12_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_12,TotalPHC_mgkg,42.7,Unknown,table_p6_ri12_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_12,TotalPHC_mgkg,19.8,Unknown,table_p6_ri12_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_13,TotalPHC_mgkg,2.82,Unknown,table_p6_ri13_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
