paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumHCH_ngg,0.72,Unknown,table_p1_ri3_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col3,SumHCH_ngg,0.32,Unknown,table_p1_ri3_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumHCH_ngg,7.48,Unknown,table_p1_ri3_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumHCH_ngg,0.32,Unknown,table_p1_ri4_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumHCH_ngg,18.4,Unknown,table_p1_ri4_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumHCH_ngg,0.53,Unknown,table_p1_ri5_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col3,SumHCH_ngg,0.26,Unknown,table_p1_ri5_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumHCH_ngg,10.54,Unknown,table_p1_ri5_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumHCH_ngg,0.66,Unknown,table_p1_ri6_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col3,SumHCH_ngg,0.21,Unknown,table_p1_ri6_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumHCH_ngg,5.5,Unknown,table_p1_ri6_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumHCH_ngg,2.44,Unknown,table_p1_ri7_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col3,SumHCH_ngg,1.14,Unknown,table_p1_ri7_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumHCH_ngg,30.62,Unknown,table_p1_ri7_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumDDT_ngg,1.67,Unknown,table_p1_ri8_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col3,SumDDT_ngg,0.2,Unknown,table_p1_ri8_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumDDT_ngg,8.48,Unknown,table_p1_ri8_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col2,SumDDT_ngg,3.3,Unknown,table_p1_ri12_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col3,SumDDT_ngg,0.96,Unknown,table_p1_ri12_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72216_icetce.2011.5775818,72216_icetce.2011.5775818_col4,SumDDT_ngg,9.62,Unknown,table_p1_ri12_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
