paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumHCH_ngg,0.94,Unknown,table_p3_ri1_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumHCH_ngg,1.38,Unknown,table_p3_ri1_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumHCH_ngg,0.94,Unknown,table_p3_ri2_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumHCH_ngg,1.38,Unknown,table_p3_ri2_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERM,SumHCH_ngg,1.0,Unknown,table_p3_ri3_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERL,SumHCH_ngg,0.32,Unknown,table_p3_ri3_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumHCH_ngg,0.32,Unknown,table_p3_ri3_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumHCH_ngg,0.99,Unknown,table_p3_ri3_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERM,SumDDT_ngg,7.0,Unknown,table_p3_ri5_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERL,SumDDT_ngg,1.0,Unknown,table_p3_ri5_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumDDT_ngg,1.19,Unknown,table_p3_ri5_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumDDT_ngg,4.77,Unknown,table_p3_ri5_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERM,SumDDT_ngg,7.0,Unknown,table_p3_ri7_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERL,SumDDT_ngg,1.0,Unknown,table_p3_ri7_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumDDT_ngg,1.19,Unknown,table_p3_ri7_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumDDT_ngg,4.77,Unknown,table_p3_ri7_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERM,SumDDT_ngg,46.1,Unknown,table_p3_ri15_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERL,SumDDT_ngg,1.58,Unknown,table_p3_ri15_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumDDT_ngg,3.89,Unknown,table_p3_ri15_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumDDT_ngg,51.7,Unknown,table_p3_ri15_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERM,SumPCB_ngg,180.0,Unknown,table_p3_ri16_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_ERL,SumPCB_ngg,22.7,Unknown,table_p3_ri16_ci2,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_TEL,SumPCB_ngg,21.6,Unknown,table_p3_ri16_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389423026481,1-s2.0-S0304389423026481_PEL,SumPCB_ngg,189.0,Unknown,table_p3_ri16_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,,
