paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Nap_ngg,0.001,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Nap_ngg,1.18,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Nap_ngg,28.63,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Acy_ngg,0.001,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Acy_ngg,3.31,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Ace_ngg,0.001,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Ace_ngg,0.23,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Ace_ngg,2.39,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Flu_ngg,0.001,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Flu_ngg,0.45,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Flu_ngg,8.27,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Phe_ngg,0.001,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Phe_ngg,1.72,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Phe_ngg,17.73,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Ant_ngg,0.01,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Ant_ngg,2.31,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Pyr_ngg,0.001,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Pyr_ngg,0.42,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Pyr_ngg,18.75,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,BaA_ngg,0.1,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,BaA_ngg,0.22,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,BaA_ngg,19.17,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Chr_ngg,0.01,Unknown,table_p4_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Chr_ngg,0.24,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Chr_ngg,16.53,Unknown,table_p4_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,BbF_ngg,0.1,Unknown,table_p4_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,BbF_ngg,0.21,Unknown,table_p4_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,BbF_ngg,41.31,Unknown,table_p4_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,BkF_ngg,0.1,Unknown,table_p4_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,BkF_ngg,0.11,Unknown,table_p4_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,BkF_ngg,10.83,Unknown,table_p4_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,BaP_ngg,1.0,Unknown,table_p4_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,BaP_ngg,0.17,Unknown,table_p4_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,BaP_ngg,24.87,Unknown,table_p4_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,Ind_ngg,0.1,Unknown,table_p4_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Ind_ngg,0.11,Unknown,table_p4_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Ind_ngg,13.51,Unknown,table_p4_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_TEF,BghiP_ngg,0.01,Unknown,table_p4_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,BghiP_ngg,0.13,Unknown,table_p4_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,BghiP_ngg,12.55,Unknown,table_p4_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Sum_PAH_ngg,2.59,Unknown,table_p4_ri23_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_soil,Sum_PAH_ngg,15.44,Unknown,table_p4_ri24_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S1001074225001469,1-s2.0-S1001074225001469_Surface_peat,Sum_PAH_ngg,199.13,Unknown,table_p4_ri24_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
