paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Shale_gas_exploitation_platforms,Sum_PAH_ngg,1087.1,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Shale_gas_exploitation_platforms,Sum_PAH_ngg,392.2,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Oil-based_drilling_cuttings_disposal_station,Sum_PAH_ngg,982.0,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Oil-based_drilling_cuttings_disposal_station,Sum_PAH_ngg,1925.75,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Oil-based_drilling_cuttings_disposal_station,Sum_PAH_ngg,146.14999999999998,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Groundwater_outcrops,Sum_PAH_ngg,547.15,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Groundwater_outcrops,Sum_PAH_ngg,256.35,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_Groundwater_outcrops,Sum_PAH_ngg,13.5,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S1,Sum_PAH_ngg,34.75,Unknown,table_p6_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S1,Sum_PAH_ngg,0.0,Unknown,table_p6_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S1,Sum_PAH_ngg,0.0,Unknown,table_p6_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S2,Sum_PAH_ngg,195.70000000000002,Unknown,table_p6_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S2,Sum_PAH_ngg,0.95,Unknown,table_p6_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S2,Sum_PAH_ngg,0.55,Unknown,table_p6_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S3,Sum_PAH_ngg,49.15,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S3,Sum_PAH_ngg,0.0,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S3,Sum_PAH_ngg,0.0,Unknown,table_p6_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S4,Sum_PAH_ngg,18.900000000000002,Unknown,table_p6_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S4,Sum_PAH_ngg,0.0,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S4,Sum_PAH_ngg,0.0,Unknown,table_p6_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S5,Sum_PAH_ngg,76.45,Unknown,table_p6_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S5,Sum_PAH_ngg,0.0,Unknown,table_p6_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S5,Sum_PAH_ngg,0.0,Unknown,table_p6_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S6,Sum_PAH_ngg,211.35,Unknown,table_p6_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S6,Sum_PAH_ngg,0.6,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S6,Sum_PAH_ngg,0.0,Unknown,table_p6_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S7,Sum_PAH_ngg,250.70000000000002,Unknown,table_p6_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S7,Sum_PAH_ngg,0.75,Unknown,table_p6_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_S7,Sum_PAH_ngg,4.2,Unknown,table_p6_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G1,Sum_PAH_ngg,118.64999999999999,Unknown,table_p6_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G1,Sum_PAH_ngg,0.55,Unknown,table_p6_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G1,Sum_PAH_ngg,0.0,Unknown,table_p6_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G2,Sum_PAH_ngg,14.799999999999999,Unknown,table_p6_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G2,Sum_PAH_ngg,0.0,Unknown,table_p6_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G2,Sum_PAH_ngg,0.0,Unknown,table_p6_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G3,Sum_PAH_ngg,123.55,Unknown,table_p6_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G3,Sum_PAH_ngg,0.0,Unknown,table_p6_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
1-s2.0-S0304389426000270,1-s2.0-S0304389426000270_G3,Sum_PAH_ngg,0.0,Unknown,table_p6_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
