paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_TEL,Phe_ngg,42.0,Unknown,table_p3_ri5_ci2,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_OEL,Phe_ngg,130.0,Unknown,table_p3_ri5_ci3,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_PEL,Phe_ngg,520.0,Unknown,table_p3_ri5_ci4,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_REL,Ant_ngg,16.0,Unknown,table_p3_ri6_ci1,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_TEL,Ant_ngg,47.0,Unknown,table_p3_ri6_ci2,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_OEL,Ant_ngg,110.0,Unknown,table_p3_ri6_ci3,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_PEL,Ant_ngg,240.0,Unknown,table_p3_ri6_ci4,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_REL,Pyr_ngg,29.0,Unknown,table_p3_ri8_ci1,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_TEL,Pyr_ngg,53.0,Unknown,table_p3_ri8_ci2,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_OEL,Pyr_ngg,230.0,Unknown,table_p3_ri8_ci3,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_PEL,Pyr_ngg,880.0,Unknown,table_p3_ri8_ci4,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_REL,BaA_ngg,14.0,Unknown,table_p3_ri9_ci1,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_TEL,BaA_ngg,32.0,Unknown,table_p3_ri9_ci2,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_OEL,BaA_ngg,120.0,Unknown,table_p3_ri9_ci3,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_PEL,BaA_ngg,390.0,Unknown,table_p3_ri9_ci4,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_FEL,BaA_ngg,760.0,Unknown,table_p3_ri9_ci5,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_REL,BaP_ngg,11.0,Unknown,table_p3_ri11_ci1,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_TEL,BaP_ngg,32.0,Unknown,table_p3_ri11_ci2,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_OEL,BaP_ngg,150.0,Unknown,table_p3_ri11_ci3,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_PEL,BaP_ngg,780.0,Unknown,table_p3_ri11_ci4,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_FEL,BaP_ngg,3200.0,Unknown,table_p3_ri11_ci5,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_REL,DahA_ngg,3.3,Unknown,table_p3_ri12_ci1,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_TEL,DahA_ngg,6.2,Unknown,table_p3_ri12_ci2,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_OEL,DahA_ngg,43.0,Unknown,table_p3_ri12_ci3,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_PEL,DahA_ngg,140.0,Unknown,table_p3_ri12_ci4,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛,查干湖沉积物及土壤中多环芳烃及其衍生物污染特征和风险区识别_郭加汛_FEL,DahA_ngg,200.0,Unknown,table_p3_ri12_ci5,sediment,,,phase14_batch2; matrix=score=35:high; conf=high; flag=,,
