paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Nap_ngg,23.7,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Nap_ngg,23.8,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Nap_ngg,27.8,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Nap_ngg,4.0,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Phe_ngg,218.7,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Phe_ngg,231.2,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Phe_ngg,199.2,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Phe_ngg,243.5,Unknown,table_p3_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Ant_ngg,221.4,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Ant_ngg,230.0,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Ant_ngg,197.9,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Ant_ngg,119.7,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Pyr_ngg,32.4,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Pyr_ngg,28.5,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Pyr_ngg,20.5,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Pyr_ngg,62.9,Unknown,table_p3_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Sum_PAH_ngg,719.4,Unknown,table_p3_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Sum_PAH_ngg,715.5,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Sum_PAH_ngg,607.2,Unknown,table_p3_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Sum_PAH_ngg,764.0,Unknown,table_p3_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Sum_PAH_ngg,129.7,Unknown,table_p3_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Sum_PAH_ngg,216.6,Unknown,table_p3_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Sum_PAH_ngg,168.5,Unknown,table_p3_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Sum_PAH_ngg,361.4,Unknown,table_p3_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Sum_PAH_ngg,0.5,Unknown,table_p3_ri21_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Sum_PAH_ngg,0.5,Unknown,table_p3_ri21_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Sum_PAH_ngg,0.5,Unknown,table_p3_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Sum_PAH_ngg,0.33,Unknown,table_p3_ri21_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Phe_ngg,0.55,Unknown,table_p3_ri22_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,Ant_ngg,0.55,Unknown,table_p3_ri22_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Phe_ngg,0.6,Unknown,table_p3_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large_gold_recovering_plants,Ant_ngg,0.6,Unknown,table_p3_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Phe_ngg,0.63,Unknown,table_p3_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,Ant_ngg,0.63,Unknown,table_p3_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Phe_ngg,0.59,Unknown,table_p3_ri22_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Reference_site,Ant_ngg,0.59,Unknown,table_p3_ri22_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,34.8,Unknown,table_p4_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,0.4,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,3.8,Unknown,table_p4_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,10.4,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,0.1,Unknown,table_p4_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,14.6,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,0.3,Unknown,table_p4_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,4.1,Unknown,table_p4_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,24.5,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,5.9,Unknown,table_p4_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,11.6,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,25.4,Unknown,table_p4_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,4.9,Unknown,table_p4_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,12.5,Unknown,table_p4_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,17.0,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,3.8,Unknown,table_p4_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,9.7,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,126.7,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,15.3,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,41.9,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,77.8,Unknown,table_p4_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,2.4,Unknown,table_p4_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,8.9,Unknown,table_p4_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,80.3,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,12.3,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,19.4,Unknown,table_p4_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,101.2,Unknown,table_p4_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,24.8,Unknown,table_p4_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,39.3,Unknown,table_p4_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_e-waste_recycling_plants,SumPCB_ngg,76.9,Unknown,table_p4_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Large-scale_gold_recovering_plants,SumPCB_ngg,24.8,Unknown,table_p4_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72335_j.jhazmat.2009.08.134,72335_j.jhazmat.2009.08.134_Simple_household_e-waste_recycling_workshops,SumPCB_ngg,41.0,Unknown,table_p4_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
