paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Nap_ngg,5.93,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Nap_ngg,42.6,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Nap_ngg,14.5,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Nap_ngg,6.11,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Acy_ngg,2.67,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Acy_ngg,7.91,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Acy_ngg,3.46,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Acy_ngg,2.63,Unknown,table_p5_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Ace_ngg,0.629,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Ace_ngg,4.81,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Ace_ngg,1.47,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Ace_ngg,0.597,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Flu_ngg,4.31,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Flu_ngg,49.9,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Flu_ngg,11.4,Unknown,table_p5_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Flu_ngg,4.16,Unknown,table_p5_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Experimental_area_(n_=_26),Phe_ngg,16.2,Unknown,table_p5_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Buffer_area_(n_=_8),Phe_ngg,119.0,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Core_area_(n_=_4),Phe_ngg,33.8,Unknown,table_p5_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72377_s00244-014-0085-8,72377_s00244-014-0085-8_Area_outside_the_reserve_(n_=_8),Phe_ngg,17.1,Unknown,table_p5_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
