paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969723006307,1-s2.0-S0048969723006307_Carcinogenic_GAC,SumPCB_ngg,8.69,Unknown,table_p6_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723006307,1-s2.0-S0048969723006307_Carcinogenic_GAC,SumPCB_ngg,2.44,Unknown,table_p6_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723006307,1-s2.0-S0048969723006307_Integrated_GAC,SumPCB_ngg,3.05,Unknown,table_p6_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
