paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S3,Sum_PAH_ngg,0.0,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S4,Sum_PAH_ngg,7.4,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S5,Sum_PAH_ngg,10.5,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S6,Sum_PAH_ngg,12.2,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S7,Sum_PAH_ngg,15.0,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S8,Sum_PAH_ngg,17.6,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_S9,Sum_PAH_ngg,22.4,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Nap_ngg,55.5,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Nap_ngg,2.9,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Nap_ngg,90.5,Unknown,table_p3_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Nap_ngg,0.3,Unknown,table_p3_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Ace_ngg,93.0,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Ace_ngg,0.82,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Ace_ngg,96.5,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Ace_ngg,0.54,Unknown,table_p3_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Flu_ngg,96.0,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Flu_ngg,0.54,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Flu_ngg,88.0,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Flu_ngg,0.3,Unknown,table_p3_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Phe_ngg,89.0,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Phe_ngg,0.3,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Phe_ngg,97.0,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Phe_ngg,0.24,Unknown,table_p3_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Ant_ngg,76.0,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Ant_ngg,0.36,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Ant_ngg,82.0,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Ant_ngg,0.54,Unknown,table_p3_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Pyr_ngg,76.0,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Pyr_ngg,0.48,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Pyr_ngg,89.0,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(μg/kg),Pyr_ngg,0.3,Unknown,table_p3_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Recovery_(%),Ant_ngg,105.0,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Detection_limit_(ug/kg),Ant_ngg,0.24,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Min._（ug_kg-1）,Flu_ngg,0.5,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Min._（ug_kg-1）,Phe_ngg,5.1,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Min._（ug_kg-1）,Chr_ngg,0.5,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027_Min._（ug_kg-1）,Sum_PAH_ngg,0.0,Unknown,table_p3_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
