paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,Phe_ngg,0.07,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,Ant_ngg,0.07,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,BaA_ngg,0.48,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR1,Chr_ngg,0.48,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,Phe_ngg,0.09,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,Ant_ngg,0.09,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,BaA_ngg,0.49,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR2,Chr_ngg,0.49,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,Phe_ngg,0.19,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,Ant_ngg,0.19,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,BaA_ngg,0.47,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR3,Chr_ngg,0.47,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,Phe_ngg,0.16,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,Ant_ngg,0.16,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,BaA_ngg,0.49,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR4,Chr_ngg,0.49,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR5,Phe_ngg,0.11,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR5,Ant_ngg,0.11,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR5,BaA_ngg,0.42,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR5,Chr_ngg,0.42,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR6,Phe_ngg,0.12,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR6,Ant_ngg,0.12,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR6,BaA_ngg,0.49,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR6,Chr_ngg,0.49,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR7,Phe_ngg,0.12,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR7,Ant_ngg,0.12,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR7,BaA_ngg,0.49,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR7,Chr_ngg,0.49,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR8,Phe_ngg,0.11,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR8,Ant_ngg,0.11,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR8,BaA_ngg,0.49,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR8,Chr_ngg,0.49,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR9,Phe_ngg,0.14,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR9,Ant_ngg,0.14,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR9,BaA_ngg,0.49,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_UR9,Chr_ngg,0.49,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU1,Phe_ngg,0.13,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU1,Ant_ngg,0.13,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU1,BaA_ngg,0.49,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU1,Chr_ngg,0.49,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU2,Phe_ngg,0.08,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU2,Ant_ngg,0.08,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU2,BaA_ngg,0.49,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU2,Chr_ngg,0.49,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU3,Phe_ngg,0.07,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU3,Ant_ngg,0.07,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU3,BaA_ngg,0.49,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU3,Chr_ngg,0.49,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU4,Phe_ngg,0.11,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU4,Ant_ngg,0.11,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU4,BaA_ngg,0.4,Unknown,table_p3_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_SU4,Chr_ngg,0.4,Unknown,table_p3_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72320_s00244-009-9314-y,72320_s00244-009-9314-y_RU1,Phe_ngg,0.08,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
