paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumDDT_ngg,5.055,Unknown,table_p17_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumDDT_ngg,4.47,Unknown,table_p17_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumDDT_ngg,1.03,Unknown,table_p17_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumDDT_ngg,1.02,Unknown,table_p17_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumDDT_ngg,18.245,Unknown,table_p17_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumDDT_ngg,14.4,Unknown,table_p17_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumHCH_ngg,0.47,Unknown,table_p17_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumHCH_ngg,1.575,Unknown,table_p17_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumHCH_ngg,1.45,Unknown,table_p17_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumHCH_ngg,0.835,Unknown,table_p17_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumHCH_ngg,0.61,Unknown,table_p17_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumHCH_ngg,0.75,Unknown,table_p17_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumHCH_ngg,0.64,Unknown,table_p17_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soil_(n_=_8),SumHCH_ngg,3.3600000000000003,Unknown,table_p17_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soil_(n_=_8),SumHCH_ngg,3.19,Unknown,table_p17_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soils,SumDDT_ngg,0.27,Unknown,table_p18_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soils,SumDDT_ngg,0.67,Unknown,table_p18_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soils,SumHCH_ngg,0.41,Unknown,table_p18_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soils,SumHCH_ngg,0.46,Unknown,table_p18_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soils,SumHCH_ngg,0.04,Unknown,table_p18_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Bareland_soils,SumHCH_ngg,0.27,Unknown,table_p18_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soils,SumHCH_ngg,0.63,Unknown,table_p18_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envpol.2018.09.019,_dup_j.envpol.2018.09.019_Farmland_soils,SumHCH_ngg,0.64,Unknown,table_p18_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
