paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Nap_ngg,0.338,Unknown,table_p11_ri1_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Nap_ngg,0.146,Unknown,table_p11_ri1_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Nap_ngg,0.066,Unknown,table_p11_ri1_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Ace_ngg,0.493,Unknown,table_p11_ri2_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Ace_ngg,0.316,Unknown,table_p11_ri2_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Ace_ngg,0.054,Unknown,table_p11_ri2_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Flu_ngg,0.465,Unknown,table_p11_ri4_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Flu_ngg,0.326,Unknown,table_p11_ri4_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Flu_ngg,0.033,Unknown,table_p11_ri4_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Phe_ngg,0.359,Unknown,table_p11_ri5_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Phe_ngg,0.246,Unknown,table_p11_ri5_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Phe_ngg,0.022,Unknown,table_p11_ri5_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Ant_ngg,0.621,Unknown,table_p11_ri6_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Ant_ngg,0.51,Unknown,table_p11_ri6_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Ant_ngg,0.028,Unknown,table_p11_ri6_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Pyr_ngg,0.406,Unknown,table_p11_ri8_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Pyr_ngg,0.31,Unknown,table_p11_ri8_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Pyr_ngg,0.016,Unknown,table_p11_ri8_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),BaA_ngg,0.213,Unknown,table_p11_ri9_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),BaA_ngg,0.165,Unknown,table_p11_ri9_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),BaA_ngg,0.005,Unknown,table_p11_ri9_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Chr_ngg,0.248,Unknown,table_p11_ri10_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Chr_ngg,0.155,Unknown,table_p11_ri10_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Chr_ngg,0.017,Unknown,table_p11_ri10_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),BbF_ngg,0.076,Unknown,table_p11_ri11_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),BbF_ngg,0.143,Unknown,table_p11_ri11_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),BbF_ngg,0.013,Unknown,table_p11_ri11_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),BkF_ngg,0.268,Unknown,table_p11_ri12_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),BkF_ngg,0.122,Unknown,table_p11_ri12_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),BkF_ngg,0.042,Unknown,table_p11_ri12_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),BaP_ngg,0.337,Unknown,table_p11_ri13_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),BaP_ngg,0.149,Unknown,table_p11_ri13_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),BaP_ngg,0.063,Unknown,table_p11_ri13_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),Ind_ngg,0.001,Unknown,table_p11_ri15_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),Ind_ngg,0.004,Unknown,table_p11_ri15_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),Ind_ngg,0.001,Unknown,table_p11_ri15_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-RS_(CD),BghiP_ngg,0.001,Unknown,table_p11_ri16_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_AS-VS_(CD),BghiP_ngg,1.0,Unknown,table_p11_ri16_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_RS-VS_(CD),BghiP_ngg,1.0,Unknown,table_p11_ri16_ci3,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Nap_ngg,174.0,Unknown,table_p14_ri2_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Nap_ngg,656.0,Unknown,table_p14_ri2_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Ace_ngg,31.1,Unknown,table_p14_ri3_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Ace_ngg,178.0,Unknown,table_p14_ri3_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Flu_ngg,106.0,Unknown,table_p14_ri5_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_B_a_p_e_q_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Flu_ngg,561.0,Unknown,table_p14_ri5_ci2,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
s11356-017-8553-0,s11356-017-8553-0_$\mathrm_{_P_A_H_s_}_(_\mu_\mathrm_{_g_}_\mathrm_{_k_g_}_^_{_-_1_}_)$,Phe_ngg,478.0,Unknown,table_p14_ri6_ci1,soil,,,phase14_batch2; matrix=score=252:high; conf=high; flag=,,
