paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Nap_ngg,22.9,Unknown,table_p3_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Nap_ngg,37.5,Unknown,table_p3_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Nap_ngg,255.0,Unknown,table_p3_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Ace_ngg,2.77,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Ace_ngg,8.58,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Ace_ngg,68.1,Unknown,table_p3_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Acy_ngg,1.47,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Acy_ngg,3.51,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Acy_ngg,0.03,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Acy_ngg,22.6,Unknown,table_p3_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Phe_ngg,8.62,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Phe_ngg,25.8,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Phe_ngg,0.16,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Phe_ngg,188.0,Unknown,table_p3_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Ant_ngg,1.68,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Ant_ngg,9.02,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Ant_ngg,0.04,Unknown,table_p3_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Maximum,Ant_ngg,70.8,Unknown,table_p3_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Geometric_mean,Pyr_ngg,8.99,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Standard_deviation,Pyr_ngg,38.9,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72240_s00254-008-1204-5,72240_s00254-008-1204-5_Minimum,Pyr_ngg,0.18,Unknown,table_p3_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
