paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_col3,SumPCB_ngg,4.9399999999999995,Unknown,table_p5_ri12_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_col5,SumPCB_ngg,7.15,Unknown,table_p5_ri12_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_col6,SumPCB_ngg,6.5,Unknown,table_p5_ri12_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_col10,SumPCB_ngg,0.39,Unknown,table_p5_ri12_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_col12,SumPCB_ngg,1.0,Unknown,table_p5_ri12_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Shenyang,SumPCB_ngg,6.4,Unknown,table_p7_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Shenyang,SumPCB_ngg,4.4,Unknown,table_p7_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Beijing,SumPCB_ngg,0.39,Unknown,table_p7_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Qingdao,SumPCB_ngg,3.1,Unknown,table_p7_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Ya-Er_Lake_area,SumPCB_ngg,7.1,Unknown,table_p7_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Zhejiang,SumPCB_ngg,0.008,Unknown,table_p7_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Shanghai-Hangzhou,SumPCB_ngg,0.41,Unknown,table_p7_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Yangtze_River_Delta,SumPCB_ngg,0.55,Unknown,table_p7_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Guizhou,SumPCB_ngg,8.9,Unknown,table_p7_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Guiyu_(Shantou),SumPCB_ngg,23.0,Unknown,table_p7_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Hong_Kong,SumPCB_ngg,0.07,Unknown,table_p7_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Taiwan_Across_China,SumPCB_ngg,44.0,Unknown,table_p7_ri25_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_S26,SumPCB_ngg,0.14,Unknown,table_p7_ri26_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_France,SumPCB_ngg,0.09,Unknown,table_p7_ri28_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Germany,SumPCB_ngg,0.95,Unknown,table_p7_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2007.08.026,_dup_j.scitotenv.2007.08.026_Swiss,SumPCB_ngg,0.86,Unknown,table_p7_ri31_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
