paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Gansu,SumPAE_ngg,0.2,Unknown,table_p8_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Gansu,SumPAE_ngg,5.41,Unknown,table_p8_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Gansu,SumPAE_ngg,0.004,Unknown,table_p8_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Inner_Mongolia,SumPAE_ngg,4.6,Unknown,table_p8_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Inner_Mongolia,SumPAE_ngg,10.86,Unknown,table_p8_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Inner_Mongolia,SumPAE_ngg,0.042,Unknown,table_p8_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Liaoning_#1,SumPAE_ngg,1.3,Unknown,table_p8_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Liaoning_#1,SumPAE_ngg,8.39,Unknown,table_p8_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Liaoning_#1,SumPAE_ngg,0.015,Unknown,table_p8_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Liaoning_#2,SumPAE_ngg,1.5,Unknown,table_p8_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Liaoning_#2,SumPAE_ngg,10.87,Unknown,table_p8_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Liaoning_#2,SumPAE_ngg,0.014,Unknown,table_p8_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Shandong_#1,SumPAE_ngg,3.4,Unknown,table_p8_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Shandong_#1,SumPAE_ngg,17.43,Unknown,table_p8_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Shandong_#1,SumPAE_ngg,0.02,Unknown,table_p8_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Shandong_#2,SumPAE_ngg,3.6,Unknown,table_p8_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Shandong_#2,SumPAE_ngg,14.21,Unknown,table_p8_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Shandong_#2,SumPAE_ngg,0.026,Unknown,table_p8_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Xinjiang_#1,SumPAE_ngg,6.1,Unknown,table_p8_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Xinjiang_#1,SumPAE_ngg,22.32,Unknown,table_p8_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Xinjiang_#1,SumPAE_ngg,0.027,Unknown,table_p8_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Xinjiang_#2,SumPAE_ngg,2.5,Unknown,table_p8_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Xinjiang_#2,SumPAE_ngg,3.57,Unknown,table_p8_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Xinjiang_#2,SumPAE_ngg,0.07,Unknown,table_p8_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Zhejiang,SumPAE_ngg,2.3,Unknown,table_p8_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Zhejiang,SumPAE_ngg,5.55,Unknown,table_p8_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
Accumulation of soil microplastics and phthalate e,Accumulation of soil microplastics and phthalate e_Zhejiang,SumPAE_ngg,0.041,Unknown,table_p8_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
