paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72331_s10661-008-0606-x,72331_s10661-008-0606-x_DR_%,Phe_ngg,95.2,Unknown,table_p4_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Number_of_rings,Flu_ngg,4.0,Unknown,table_p4_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Max.__$(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_)$,Flu_ngg,364.0,Unknown,table_p4_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Aver.__$\left(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_\right)$,Flu_ngg,57.7,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Mid.__$\left(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_\right)$,Flu_ngg,39.7,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Std.__$(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_)$,Flu_ngg,67.5,Unknown,table_p4_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_CV_%,Flu_ngg,117.0,Unknown,table_p4_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_DR_%,Flu_ngg,99.0,Unknown,table_p4_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Number_of_rings,Pyr_ngg,4.0,Unknown,table_p4_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Min.__$(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_)$,Pyr_ngg,1.25,Unknown,table_p4_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Max.__$(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_)$,Pyr_ngg,498.0,Unknown,table_p4_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72331_s10661-008-0606-x,72331_s10661-008-0606-x_Aver.__$\left(_\mathbf_{_n_g_\thinspace_g_^_{_-_1_}_}_\right)$,Pyr_ngg,48.8,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
