paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Nap_ngg,2.0,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Nap_ngg,128.2,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Nap_ngg,680.0,Unknown,table_p3_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Nap_ngg,41.1,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Nap_ngg,225.6,Unknown,table_p3_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Acy_ngg,2.0,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Acy_ngg,152.2,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Acy_ngg,107.1,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Acy_ngg,13.2,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Acy_ngg,41.4,Unknown,table_p3_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Ace_ngg,2.0,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Ace_ngg,154.2,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Ace_ngg,80.0,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Ace_ngg,1.0,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Ace_ngg,33.6,Unknown,table_p3_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Phe_ngg,3.0,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Phe_ngg,178.2,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Phe_ngg,1403.3,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Phe_ngg,33.9,Unknown,table_p3_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Phe_ngg,285.5,Unknown,table_p3_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Ant_ngg,3.0,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Ant_ngg,178.2,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Ant_ngg,474.0,Unknown,table_p3_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Ant_ngg,21.3,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Ant_ngg,85.7,Unknown,table_p3_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Flu_ngg,3.0,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Flu_ngg,202.3,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Flu_ngg,269.5,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Flu_ngg,21.1,Unknown,table_p3_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Flu_ngg,118.5,Unknown,table_p3_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Pyr_ngg,4.0,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Pyr_ngg,202.3,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Pyr_ngg,497.1,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Pyr_ngg,19.4,Unknown,table_p3_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Pyr_ngg,126.3,Unknown,table_p3_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,BaA_ngg,4.0,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,BaA_ngg,228.3,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),BaA_ngg,169.2,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,BaA_ngg,66.9,Unknown,table_p3_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Chr_ngg,4.0,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Chr_ngg,228.3,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Chr_ngg,2006.7,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Chr_ngg,19.1,Unknown,table_p3_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Chr_ngg,207.0,Unknown,table_p3_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,BbF_ngg,4.0,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,BbF_ngg,252.3,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),BbF_ngg,194.5,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),BbF_ngg,1.0,Unknown,table_p3_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,BbF_ngg,77.5,Unknown,table_p3_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,BkF_ngg,4.0,Unknown,table_p3_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,BkF_ngg,252.3,Unknown,table_p3_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),BkF_ngg,300.1,Unknown,table_p3_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),BkF_ngg,30.2,Unknown,table_p3_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,BkF_ngg,103.4,Unknown,table_p3_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,BaP_ngg,5.0,Unknown,table_p3_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,BaP_ngg,252.3,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),BaP_ngg,245.4,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),BaP_ngg,22.7,Unknown,table_p3_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,BaP_ngg,111.3,Unknown,table_p3_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Ring_number,Ind_ngg,5.0,Unknown,table_p3_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Molecular_weight,Ind_ngg,276.3,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Concentration_(ng/g),Ind_ngg,340.1,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Detectable_ratio_(%),Ind_ngg,33.9,Unknown,table_p3_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0147651320304851,1-s2.0-S0147651320304851_Carcinogenicity,Ind_ngg,101.7,Unknown,table_p3_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
