paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
211%252F2017-swr,211%252F2017-swr_Cu,SumHCH_ngg,0.135,Unknown,table_p5_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Pb,SumHCH_ngg,0.153,Unknown,table_p5_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Cu,SumDDT_ngg,0.453,Unknown,table_p5_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_Pb,SumDDT_ngg,0.319,Unknown,table_p5_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
211%252F2017-swr,211%252F2017-swr_BHC,SumDDT_ngg,0.202,Unknown,table_p5_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
