paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.115,Unknown,table_p7_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.434,Unknown,table_p7_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.362,Unknown,table_p7_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.356,Unknown,table_p7_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.399,Unknown,table_p7_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.248,Unknown,table_p7_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.48,Unknown,table_p7_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_m,SumPCB_ngg,1853.0,Unknown,table_p7_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumPCB_ngg,36.0,Unknown,table_p7_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumPCB_ngg,0.015,Unknown,table_p7_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_m,SumHCH_ngg,4774.0,Unknown,table_p7_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumHCH_ngg,35.0,Unknown,table_p7_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumHCH_ngg,0.17,Unknown,table_p7_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_m,SumHCH_ngg,6546.0,Unknown,table_p7_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumHCH_ngg,35.0,Unknown,table_p7_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumHCH_ngg,0.548,Unknown,table_p7_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumHCH_ngg,35.0,Unknown,table_p7_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumHCH_ngg,0.1,Unknown,table_p7_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_N,SumHCH_ngg,35.0,Unknown,table_p7_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
aaqr-13-01-oa-0026,aaqr-13-01-oa-0026_$\overline_{_{_{_\mathrm_{_r_}_}_^_{_2_}_}_}$,SumHCH_ngg,0.0,Unknown,table_p7_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
