paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Deterministic_method,BaP_ngg,0.04,Unknown,table_p7_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Probabilistic_method,BaP_ngg,0.11,Unknown,table_p7_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Deterministic_method,BbF_ngg,0.4,Unknown,table_p7_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Probabilistic_method,BbF_ngg,1.14,Unknown,table_p7_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Deterministic_method,BaA_ngg,0.4,Unknown,table_p7_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Probabilistic_method,BaA_ngg,1.14,Unknown,table_p7_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Deterministic_method,Ind_ngg,0.4,Unknown,table_p7_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0304389422009487,1-s2.0-S0304389422009487_Probabilistic_method,Ind_ngg,1.14,Unknown,table_p7_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
