paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathbf_{_M_i_d_._}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Ace_ngg,2.33,Unknown,table_p1_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Std.,Ace_ngg,5.74,Unknown,table_p1_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_DR%,Ace_ngg,57.57,Unknown,table_p1_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Number_of_rings,Phe_ngg,3.0,Unknown,table_p1_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathsf_{_M_i_n_._}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,Phe_ngg,26.03,Unknown,table_p1_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathbf_{_M_a_x_._}_\left(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Phe_ngg,745.93,Unknown,table_p1_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathsf_{_A_v_e_r_._}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,Phe_ngg,217.29,Unknown,table_p1_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathbf_{_M_i_d_._}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Phe_ngg,160.24,Unknown,table_p1_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Std.,Phe_ngg,179.67,Unknown,table_p1_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_DR%,Phe_ngg,100.0,Unknown,table_p1_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Dutch_soil_standard,Phe_ngg,500.0,Unknown,table_p1_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Number_of_rings,BghiP_ngg,5.0,Unknown,table_p1_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathsf_{_M_i_n_._}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,BghiP_ngg,10.72,Unknown,table_p1_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathbf_{_M_a_x_._}_\left(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BghiP_ngg,565.51,Unknown,table_p1_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathsf_{_A_v_e_r_._}_(_\mathsf_{_n_g_g_}_^_{_-_1_}_)$,BghiP_ngg,183.09,Unknown,table_p1_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_$\mathbf_{_M_i_d_._}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,BghiP_ngg,136.15,Unknown,table_p1_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Std.,BghiP_ngg,143.49,Unknown,table_p1_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_DR%,BghiP_ngg,100.0,Unknown,table_p1_ri14_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72252_j.ecoleng.2012.12.023,72252_j.ecoleng.2012.12.023_Dutch_soil_standard,BghiP_ngg,20.0,Unknown,table_p1_ri14_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
