paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),BkF_ngg,736.0,Unknown,table_p2_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),BaP_ngg,42.7,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),BaP_ngg,824.0,Unknown,table_p2_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,BaP_ngg,412.0,Unknown,table_p2_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),BaP_ngg,46.7,Unknown,table_p2_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),BaP_ngg,634.0,Unknown,table_p2_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),Sum_PAH_ngg,553.0,Unknown,table_p2_ri24_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),Sum_PAH_ngg,17800.0,Unknown,table_p2_ri24_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,Sum_PAH_ngg,6280.0,Unknown,table_p2_ri24_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Sum_PAH_ngg,467.0,Unknown,table_p2_ri24_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),Sum_PAH_ngg,5310.0,Unknown,table_p2_ri24_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Sum_PAH_ngg,230.0,Unknown,table_p2_ri26_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
