paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Nap_ngg,243.1,Unknown,table_p25_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Nap_ngg,322.5,Unknown,table_p25_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Nap_ngg,609.1,Unknown,table_p25_ri1_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Nap_ngg,301.1,Unknown,table_p25_ri1_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Nap_ngg,673.8,Unknown,table_p25_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Nap_ngg,414.7,Unknown,table_p25_ri1_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Nap_ngg,579.3,Unknown,table_p25_ri1_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Nap_ngg,38.0,Unknown,table_p25_ri1_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Nap_ngg,97.3,Unknown,table_p25_ri1_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Ace_ngg,14.1,Unknown,table_p25_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Ace_ngg,17.2,Unknown,table_p25_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Ace_ngg,35.2,Unknown,table_p25_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Ace_ngg,16.3,Unknown,table_p25_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Ace_ngg,38.3,Unknown,table_p25_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_G12,Ace_ngg,26.7,Unknown,table_p25_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S101,Ace_ngg,28.3,Unknown,table_p25_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_c.v_$\%_^_{_\mathrm_{_a_}_}$,Ace_ngg,38.0,Unknown,table_p25_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_$\overline_{_{_\mathrm_{_C_G_}_^_{_\mathrm_{_b_}_}_}_}$,Ace_ngg,6.4,Unknown,table_p25_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S102,Acy_ngg,135.7,Unknown,table_p25_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S104,Acy_ngg,637.2,Unknown,table_p25_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S26,Acy_ngg,367.0,Unknown,table_p25_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_s105,Acy_ngg,672.2,Unknown,table_p25_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70637_10807039.2015.1104627,70637_10807039.2015.1104627_S106,Acy_ngg,337.1,Unknown,table_p25_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
