paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Nap_ngg,2.0,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Nap_ngg,725.5,Unknown,table_p3_ri1_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Ace_ngg,3.0,Unknown,table_p3_ri2_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Ace_ngg,1122.0,Unknown,table_p3_ri2_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Acy_ngg,3.0,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Acy_ngg,1256.0,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Phe_ngg,3.0,Unknown,table_p3_ri5_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Phe_ngg,146.38,Unknown,table_p3_ri5_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Minimum,Phe_ngg,1.01,Unknown,table_p3_ri5_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Ant_ngg,3.0,Unknown,table_p3_ri6_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Ant_ngg,1892.51,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Pyr_ngg,4.0,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Pyr_ngg,607.38,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,BaA_ngg,4.0,Unknown,table_p3_ri9_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BaA_ngg,1243.251,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,Chr_ngg,4.0,Unknown,table_p3_ri10_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Chr_ngg,469.18,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Minimum,Chr_ngg,13.08,Unknown,table_p3_ri10_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,BbF_ngg,5.0,Unknown,table_p3_ri11_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BbF_ngg,865.56,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,BkF_ngg,5.0,Unknown,table_p3_ri12_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BkF_ngg,323.85,Unknown,table_p3_ri12_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Aromatic_ring,BaP_ngg,5.0,Unknown,table_p3_ri13_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BaP_ngg,1437.55,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Ecological_screening_value,Sum_PAH_ngg,29000.0,Unknown,table_p7_ri2_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_This_study,Sum_PAH_ngg,100000.0,Unknown,table_p7_ri2_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Ecological_screening_value,Sum_PAH_ngg,18000.0,Unknown,table_p7_ri3_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Nap_ngg,0.001,Unknown,table_p7_ri1_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Nap_ngg,0.726,Unknown,table_p7_ri1_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Ace_ngg,0.001,Unknown,table_p7_ri2_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Ace_ngg,1.122,Unknown,table_p7_ri2_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Acy_ngg,0.001,Unknown,table_p7_ri3_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Acy_ngg,1.256,Unknown,table_p7_ri3_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Phe_ngg,0.001,Unknown,table_p7_ri5_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Phe_ngg,0.146,Unknown,table_p7_ri5_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Ant_ngg,0.01,Unknown,table_p7_ri6_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Ant_ngg,18.925,Unknown,table_p7_ri6_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Pyr_ngg,0.001,Unknown,table_p7_ri8_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Pyr_ngg,0.607,Unknown,table_p7_ri8_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,BaA_ngg,0.1,Unknown,table_p7_ri9_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BaA_ngg,124.325,Unknown,table_p7_ri9_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,Chr_ngg,0.01,Unknown,table_p7_ri10_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Minimum,Chr_ngg,0.13,Unknown,table_p7_ri10_ci2,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,Chr_ngg,4.692,Unknown,table_p7_ri10_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,BbF_ngg,0.1,Unknown,table_p7_ri11_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BbF_ngg,86.556,Unknown,table_p7_ri11_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,BkF_ngg,0.1,Unknown,table_p7_ri12_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BkF_ngg,32.385,Unknown,table_p7_ri12_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_TEFª,BaP_ngg,1.0,Unknown,table_p7_ri13_ci1,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
j.chemosphere.2016.08.056,j.chemosphere.2016.08.056_Maximum,BaP_ngg,1437.55,Unknown,table_p7_ri13_ci3,soil,,,phase14_batch2; matrix=score=215:high; conf=high; flag=,,
