paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Nap_ngg,2.0,Unknown,table_p2_ri4_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Nap_ngg,0.0085,Unknown,table_p2_ri4_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ace_ngg,3.0,Unknown,table_p2_ri5_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Ace_ngg,0.0046,Unknown,table_p2_ri5_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Acy_ngg,3.0,Unknown,table_p2_ri6_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Acy_ngg,0.0106,Unknown,table_p2_ri6_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Flu_ngg,3.0,Unknown,table_p2_ri7_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Flu_ngg,0.017900000000000003,Unknown,table_p2_ri7_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Phe_ngg,3.0,Unknown,table_p2_ri8_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Concentration_(mg/kg)",Phe_ngg,0.1965,Unknown,table_p2_ri8_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
"Nuerla Ailijiang 等 - 2022 - Levels, sources, and r","Nuerla Ailijiang 等 - 2022 - Levels, sources, and r_Ringnumber",Ant_ngg,3.0,Unknown,table_p2_ri9_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
