paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Ace_ngg,3.0,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Ace_ngg,131.75,Unknown,table_p2_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Ace_ngg,540.54,Unknown,table_p2_ri2_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Ace_ngg,0.37,Unknown,table_p2_ri2_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Phe_ngg,3.0,Unknown,table_p2_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Phe_ngg,1356.57,Unknown,table_p2_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Phe_ngg,4959.63,Unknown,table_p2_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Phe_ngg,6.64,Unknown,table_p2_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Flu_ngg,4.0,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Flu_ngg,3960.9,Unknown,table_p2_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Flu_ngg,230.49,Unknown,table_p2_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Flu_ngg,12170.34,Unknown,table_p2_ri6_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Flu_ngg,19.34,Unknown,table_p2_ri6_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Pyr_ngg,4.0,Unknown,table_p2_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Pyr_ngg,3927.55,Unknown,table_p2_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Pyr_ngg,180.18,Unknown,table_p2_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Pyr_ngg,13210.47,Unknown,table_p2_ri7_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Pyr_ngg,14.03,Unknown,table_p2_ri7_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,BaA_ngg,4.0,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,BaA_ngg,1888.02,Unknown,table_p2_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,BaA_ngg,84.24,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,BaA_ngg,5522.4,Unknown,table_p2_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,BaA_ngg,8.2,Unknown,table_p2_ri8_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Rings,Chr_ngg,4.0,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Standarddeviation,Chr_ngg,1855.61,Unknown,table_p2_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Minimum,Chr_ngg,97.11,Unknown,table_p2_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Maximum,Chr_ngg,5473.26,Unknown,table_p2_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72163_icbbe.2010.5517217,72163_icbbe.2010.5517217_Proportion_(%）,Chr_ngg,7.68,Unknown,table_p2_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
