paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72350_es0513741,72350_es0513741_air_particles,Phe_ngg,2.16,Unknown,table_p2_ri1_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,Ant_ngg,2.16,Unknown,table_p2_ri1_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,Pyr_ngg,1.68,Unknown,table_p2_ri1_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,BaA_ngg,0.59,Unknown,table_p2_ri1_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,Chr_ngg,0.59,Unknown,table_p2_ri1_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,BbF_ngg,0.81,Unknown,table_p2_ri1_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,BkF_ngg,0.81,Unknown,table_p2_ri1_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,BaP_ngg,0.6,Unknown,table_p2_ri1_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,BghiP_ngg,0.6,Unknown,table_p2_ri1_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,Ind_ngg,0.92,Unknown,table_p2_ri1_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_air_particles,BghiP_ngg,0.92,Unknown,table_p2_ri1_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,Phe_ngg,0.83,Unknown,table_p2_ri2_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,Ant_ngg,0.83,Unknown,table_p2_ri2_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,Pyr_ngg,2.26,Unknown,table_p2_ri2_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,BaA_ngg,0.6,Unknown,table_p2_ri2_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,Chr_ngg,0.6,Unknown,table_p2_ri2_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,BbF_ngg,0.75,Unknown,table_p2_ri2_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,BkF_ngg,0.75,Unknown,table_p2_ri2_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,BaP_ngg,0.57,Unknown,table_p2_ri2_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,BghiP_ngg,0.57,Unknown,table_p2_ri2_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,Ind_ngg,0.89,Unknown,table_p2_ri2_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_suspended_solids,BghiP_ngg,0.89,Unknown,table_p2_ri2_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,Phe_ngg,1.77,Unknown,table_p2_ri3_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,Ant_ngg,1.77,Unknown,table_p2_ri3_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,Pyr_ngg,1.54,Unknown,table_p2_ri3_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,BaA_ngg,0.46,Unknown,table_p2_ri3_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,Chr_ngg,0.46,Unknown,table_p2_ri3_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,BbF_ngg,0.41,Unknown,table_p2_ri3_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,BkF_ngg,0.41,Unknown,table_p2_ri3_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,BaP_ngg,0.31,Unknown,table_p2_ri3_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,BghiP_ngg,0.31,Unknown,table_p2_ri3_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,Ind_ngg,0.72,Unknown,table_p2_ri3_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_soil,BghiP_ngg,0.72,Unknown,table_p2_ri3_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,Phe_ngg,0.97,Unknown,table_p2_ri4_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,Ant_ngg,0.97,Unknown,table_p2_ri4_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,Pyr_ngg,2.0,Unknown,table_p2_ri4_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,BaA_ngg,0.47,Unknown,table_p2_ri4_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,Chr_ngg,0.47,Unknown,table_p2_ri4_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,BbF_ngg,0.37,Unknown,table_p2_ri4_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,BkF_ngg,0.37,Unknown,table_p2_ri4_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,BaP_ngg,0.28,Unknown,table_p2_ri4_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,BghiP_ngg,0.28,Unknown,table_p2_ri4_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,Ind_ngg,0.69,Unknown,table_p2_ri4_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_sediment,BghiP_ngg,0.69,Unknown,table_p2_ri4_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,Phe_ngg,1.97,Unknown,table_p2_ri5_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,Ant_ngg,1.97,Unknown,table_p2_ri5_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,Pyr_ngg,3.34,Unknown,table_p2_ri5_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,BaA_ngg,0.9,Unknown,table_p2_ri5_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,Chr_ngg,0.9,Unknown,table_p2_ri5_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,BbF_ngg,0.84,Unknown,table_p2_ri5_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,BkF_ngg,0.84,Unknown,table_p2_ri5_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,BaP_ngg,1.34,Unknown,table_p2_ri5_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,BghiP_ngg,1.34,Unknown,table_p2_ri5_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,Ind_ngg,0.19,Unknown,table_p2_ri5_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
72350_es0513741,72350_es0513741_$\Sigma_(_R_F___{_\mathrm_{_i_}_}_-_1_)_^_{_2_}$,BghiP_ngg,0.19,Unknown,table_p2_ri5_ci6,soil,industrial,,phase14_auto; confidence=high; flag=,,
