paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
c7ra02484c,c7ra02484c_20-50_cm,Nap_ngg,1.31,Unknown,table_p2_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,Nap_ngg,0.34,Unknown,table_p2_ri2_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,Ace_ngg,0.09,Unknown,table_p2_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,Ace_ngg,0.02,Unknown,table_p2_ri4_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,Ant_ngg,5.21,Unknown,table_p2_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,Pyr_ngg,7.57,Unknown,table_p2_ri8_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,Pyr_ngg,1.77,Unknown,table_p2_ri8_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,BaA_ngg,2.86,Unknown,table_p2_ri9_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,BaA_ngg,0.47,Unknown,table_p2_ri9_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,Chr_ngg,2.56,Unknown,table_p2_ri10_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,Chr_ngg,0.98,Unknown,table_p2_ri10_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,BbF_ngg,4.5,Unknown,table_p2_ri11_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,BbF_ngg,1.75,Unknown,table_p2_ri11_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,BkF_ngg,1.78,Unknown,table_p2_ri12_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,BkF_ngg,0.79,Unknown,table_p2_ri12_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,BaP_ngg,2.39,Unknown,table_p2_ri13_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,BaP_ngg,0.93,Unknown,table_p2_ri13_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,DahA_ngg,0.13,Unknown,table_p2_ri15_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,BghiP_ngg,1.07,Unknown,table_p2_ri16_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_0-20_cm,Sum_PAH_ngg,1.09,Unknown,table_p2_ri17_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,Sum_PAH_ngg,16.47,Unknown,table_p2_ri17_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,Sum_PAH_ngg,5.88,Unknown,table_p2_ri17_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_0-20_cm,Sum_PAH_ngg,2.16,Unknown,table_p2_ri18_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_20-50_cm,Sum_PAH_ngg,33.52,Unknown,table_p2_ri18_ci4,soil,other,,phase14_auto; confidence=high; flag=,,
c7ra02484c,c7ra02484c_50-100_cm,Sum_PAH_ngg,11.94,Unknown,table_p2_ri18_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
