paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Pyr_ngg,60.0,Unknown,table_p4_ri9_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Pyr_ngg,199.5,Unknown,table_p4_ri9_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Pyr_ngg,30.0,Unknown,table_p4_ri9_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Sum_PAH_ngg,183.0,Unknown,table_p4_ri18_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Sum_PAH_ngg,90.5,Unknown,table_p4_ri18_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Sum_PAH_ngg,161.0,Unknown,table_p4_ri18_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Sum_PAH_ngg,131.0,Unknown,table_p4_ri20_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Sum_PAH_ngg,54.5,Unknown,table_p4_ri20_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Sum_PAH_ngg,89.0,Unknown,table_p4_ri20_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Sum_PAH_ngg,6.5,Unknown,table_p4_ri23_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Sum_PAH_ngg,13.0,Unknown,table_p4_ri23_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Sum_PAH_ngg,142.5,Unknown,table_p4_ri23_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Phe_ngg,0.3,Unknown,table_p4_ri25_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Ant_ngg,0.3,Unknown,table_p4_ri25_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Phe_ngg,0.27,Unknown,table_p4_ri25_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Ant_ngg,0.27,Unknown,table_p4_ri25_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Phe_ngg,0.3,Unknown,table_p4_ri25_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Ant_ngg,0.3,Unknown,table_p4_ri25_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Underground_river_system,Pyr_ngg,0.65,Unknown,table_p4_ri26_ci1,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Farmlands,Pyr_ngg,0.55,Unknown,table_p4_ri26_ci2,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
72264_s12665-013-2847-4,72264_s12665-013-2847-4_Sinkholes_and_well,Pyr_ngg,0.55,Unknown,table_p4_ri26_ci3,water,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
